FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
11875,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.622600,0.000000,0.000000,0.382300,0.005200,0.000000,0.000000,0.000000,0.000000,6.075589,8.602389,6.100389
11876,1,0,0,4,0.000000,0.000000,0.000000,1.226752,1.226752,0.375700,0.000000,0.000000,0.376500,0.005700,0.000000,0.000000,0.000000,0.000000,5.861389,8.345289,5.875089
11877,1,0,0,4,0.000000,0.000000,0.000000,1.223680,1.223680,0.365400,0.000000,0.000000,0.352200,0.004600,0.000000,0.000000,0.000000,0.000000,5.860989,8.346189,5.875789
11878,1,0,0,4,0.000000,0.000000,0.000000,1.226752,1.226752,0.345000,0.000000,0.000000,0.295400,0.005000,0.000000,0.000000,0.000000,0.000000,5.861089,8.248889,5.874589
11879,1,0,0,4,0.000000,0.000000,0.000000,1.227776,1.227776,0.537100,0.000000,0.000000,0.519500,0.006400,0.000000,0.000000,0.000000,0.000000,5.863889,8.581689,5.883288
11880,1,0,0,4,0.000000,0.000000,0.000000,1.380352,1.380352,0.465700,0.000000,0.000000,0.482000,0.006000,0.000000,0.000000,0.000000,0.000000,5.760889,8.613989,5.781589
11881,1,0,0,4,0.000000,0.000000,0.000000,1.220608,1.220608,0.418000,0.000000,0.000000,0.374300,0.005100,0.000000,0.000000,0.000000,0.000000,5.647389,8.134588,5.670089
11882,1,0,0,4,0.000000,0.000000,0.000000,1.224704,1.224704,0.374000,0.000000,0.000000,0.327700,0.004600,0.000000,0.000000,0.000000,0.000000,5.645288,8.068588,5.661689
11883,1,0,0,4,0.000000,0.000000,0.000000,1.226752,1.226752,0.528400,0.000000,0.000000,0.328700,0.005500,0.000000,0.000000,0.000000,0.000000,5.647988,8.097589,5.667288
11884,1,0,0,4,0.000000,0.000000,0.000000,1.219584,1.219584,0.371100,0.000000,0.000000,0.323300,0.005100,0.000000,0.000000,0.000000,0.000000,5.644589,8.060689,5.654489
11885,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.347200,0.000000,0.000000,0.328900,0.004900,0.000000,0.000000,0.000000,0.000000,5.644689,8.074389,5.658088
11886,1,0,0,4,0.000000,0.000000,0.000000,1.226752,1.226752,0.338000,0.000000,0.000000,0.317600,0.005500,0.000000,0.000000,0.000000,0.000000,5.644789,8.053589,5.659389
11887,1,0,0,4,0.000000,0.000000,0.000000,1.221632,1.221632,0.327900,0.000000,0.000000,0.296900,0.004800,0.000000,0.000000,0.000000,0.000000,5.644389,8.029688,5.658788
11888,1,0,0,4,0.000000,0.000000,0.000000,1.220608,1.220608,0.332000,0.000000,0.000000,0.303400,0.005300,0.000000,0.000000,0.000000,0.000000,5.644788,8.057889,5.658588
11889,1,0,0,4,0.000000,0.000000,0.000000,1.225728,1.225728,0.337100,0.000000,0.000000,0.286900,0.005500,0.000000,0.000000,0.000000,0.000000,5.645489,8.016989,5.661489
11890,1,0,0,4,0.000000,0.000000,0.000000,1.221632,1.221632,0.329100,0.000000,0.000000,0.275800,0.005500,0.000000,0.000000,0.000000,0.000000,5.644689,8.010288,5.659988
11891,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.336200,0.000000,0.000000,0.294400,0.013400,0.000000,0.000000,0.000000,0.000000,5.648088,8.019988,5.663289
11892,1,0,0,4,0.000000,0.000000,0.000000,1.227776,1.227776,0.324100,0.000000,0.000000,0.283100,0.011000,0.000000,0.000000,0.000000,0.000000,5.644689,8.025489,5.658189
11893,1,0,0,4,0.000000,0.000000,0.000000,1.219584,1.219584,0.312900,0.000000,0.000000,0.271500,0.005200,0.000000,0.000000,0.000000,0.000000,5.645489,7.983189,5.659289
11894,1,0,0,4,0.000000,0.000000,0.000000,1.363968,1.363968,0.556700,0.000000,0.000000,0.293600,0.012700,0.000000,0.000000,0.000000,0.000000,5.651588,8.091788,5.687988
11895,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.310700,0.000000,0.000000,0.271400,0.012900,0.000000,0.000000,0.000000,0.000000,5.644588,7.982288,5.659988
11896,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.331300,0.000000,0.000000,0.266900,0.013300,0.000000,0.000000,0.000000,0.000000,5.653589,8.064689,5.686789
11897,1,0,0,4,0.000000,0.000000,0.000000,1.224704,1.224704,0.309400,0.000000,0.000000,0.420400,0.004900,0.000000,0.000000,0.000000,0.000000,5.651088,8.214788,5.666288
11898,1,0,0,4,0.000000,0.000000,0.000000,1.227776,1.227776,0.302400,0.000000,0.000000,0.283000,0.004700,0.000000,0.000000,0.000000,0.000000,5.644488,8.003489,5.658389
11899,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.311300,0.000000,0.000000,0.274100,0.004400,0.000000,0.000000,0.000000,0.000000,5.645189,7.990489,5.661089
11900,1,0,0,4,0.000000,0.000000,0.000000,1.220608,1.220608,0.342200,0.000000,0.000000,0.276700,0.011300,0.000000,0.000000,0.000000,0.000000,5.646289,8.000089,5.666689
11901,1,0,0,4,0.000000,0.000000,0.000000,1.226752,1.226752,0.344600,0.000000,0.000000,0.267200,0.012600,0.000000,0.000000,0.000000,0.000000,5.645188,7.991788,5.661388
11902,1,0,0,4,0.000000,0.000000,0.000000,1.220608,1.220608,0.324400,0.000000,0.000000,0.261200,0.005100,0.000000,0.000000,0.000000,0.000000,5.645188,7.983088,5.660589
11903,1,0,0,4,0.000000,0.000000,0.000000,1.220608,1.220608,0.352100,0.000000,0.000000,0.265100,0.004100,0.000000,0.000000,0.000000,0.000000,5.645188,7.990488,5.659988
11904,1,0,0,4,0.000000,0.000000,0.000000,1.228800,1.228800,0.310500,0.000000,0.000000,0.273700,0.005200,0.000000,0.000000,0.000000,0.000000,5.644689,7.987988,5.658988
11905,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.404300,0.000000,0.000000,0.269900,0.005500,0.000000,0.000000,0.000000,0.000000,5.645588,7.992389,5.663088
11906,1,0,0,4,0.000000,0.000000,0.000000,1.362944,1.362944,0.319300,0.000000,0.000000,0.251600,0.013500,0.000000,0.000000,0.000000,0.000000,5.651488,8.044489,5.682189
11907,1,0,0,4,0.000000,0.000000,0.000000,1.220608,1.220608,0.330500,0.000000,0.000000,0.277100,0.005100,0.000000,0.000000,0.000000,0.000000,5.644988,7.999888,5.660988
11908,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.336400,0.000000,0.000000,0.265700,0.014500,0.000000,0.000000,0.000000,0.000000,5.671689,7.977489,5.714088
11909,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.304900,0.000000,0.000000,0.262300,0.010800,0.000000,0.000000,0.000000,0.000000,5.682789,7.975989,5.695389
11910,1,0,0,4,0.000000,0.000000,0.000000,1.223680,1.223680,0.321800,0.000000,0.000000,0.268800,0.005200,0.000000,0.000000,0.000000,0.000000,5.702388,7.985188,5.718489
11911,1,0,0,4,0.000000,0.000000,0.000000,1.218560,1.218560,0.307100,0.000000,0.000000,0.253600,0.005700,0.000000,0.000000,0.000000,0.000000,5.708789,7.960888,5.723889
11912,1,0,0,4,0.000000,0.000000,0.000000,1.224704,1.224704,0.391900,0.000000,0.000000,0.334600,0.007400,0.000000,0.000000,0.000000,0.000000,5.710088,8.094289,5.726988
11913,1,0,0,4,0.000000,0.000000,0.000000,1.225728,1.225728,0.385400,0.000000,0.000000,0.349900,0.005700,0.000000,0.000000,0.000000,0.000000,5.768788,8.176888,5.785088
11914,1,0,0,4,0.000000,0.000000,0.000000,1.224704,1.224704,0.426100,0.000000,0.000000,0.375900,0.005200,0.000000,0.000000,0.000000,0.000000,5.826989,8.309690,5.844789
11915,1,0,0,4,0.000000,0.000000,0.000000,1.219584,1.219584,0.467600,0.000000,0.000000,0.338100,0.005600,0.000000,0.000000,0.000000,0.000000,5.885489,8.257389,5.899789
11916,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.360900,0.000000,0.000000,0.357900,0.013000,0.000000,0.000000,0.000000,0.000000,5.919888,8.315989,5.933589
11917,1,0,0,4,0.000000,0.000000,0.000000,1.221632,1.221632,0.358000,0.000000,0.000000,0.300300,0.017900,0.000000,0.000000,0.000000,0.000000,5.920188,8.271189,5.935488
11918,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.349500,0.000000,0.000000,0.270800,0.004700,0.000000,0.000000,0.000000,0.000000,5.919689,8.211390,5.934089
11919,1,0,0,4,0.000000,0.000000,0.000000,1.222656,1.222656,0.327700,0.000000,0.000000,0.266500,0.004200,0.000000,0.000000,0.000000,0.000000,5.919888,8.202689,5.934988
11920,1,0,0,4,0.000000,0.000000,0.000000,1.220608,1.220608,0.353200,0.000000,0.000000,0.281000,0.005800,0.000000,0.000000,0.000000,0.000000,5.920989,8.220589,5.937589
11921,1,0,0,4,0.000000,0.000000,0.000000,1.221632,1.221632,0.310300,0.000000,0.000000,0.252200,0.004600,0.000000,0.000000,0.000000,0.000000,5.920289,8.181289,5.936089
11922,1,0,0,4,0.000000,0.000000,0.000000,1.224704,1.224704,0.303300,0.000000,0.000000,0.325100,0.005200,0.000000,0.000000,0.000000,0.000000,5.919988,8.253288,5.934588
11923,1,0,0,4,0.000000,0.000000,0.000000,1.221632,1.221632,0.334800,0.000000,0.000000,0.277800,0.012500,0.000000,0.000000,0.000000,0.000000,5.919688,8.207388,5.934388
