"(PDH-TSV 4.0) ("	"\\PC-201912230946\Memory\% Committed Bytes In Use"	"\\PC-201912230946\Process(HQVRMeeting)\% Processor Time"	"\\PC-201912230946\Process(HQVRMeeting)\Working Set - Private"	"\\PC-201912230946\Process(HQVRMeeting)\Working Set"	"\\PC-201912230946\Process(HQVRMeeting)\Handle Count"	"\\PC-201912230946\Process(HQVRMeeting)\Private Bytes"	"\\PC-201912230946\Process(HQVRMeeting)\Virtual Bytes"
"08/10/2022 11:10:52.205"	"36.63346283990737362"	" "	"1082568704"	"1203548160"	"1401"	"2865557504"	"17374437376"
"08/10/2022 11:10:53.215"	"36.480408147089278259"	"40.369778225083202017"	"1083166720"	"1204150272"	"1401"	"2866110464"	"17374437376"
"08/10/2022 11:10:54.213"	"36.475300354993741792"	"37.599378918419276374"	"1083830272"	"1204813824"	"1401"	"2866659328"	"17374437376"
"08/10/2022 11:10:55.207"	"36.471994625514369659"	"31.427458285957488471"	"1084178432"	"1205161984"	"1401"	"2866933760"	"17374437376"
"08/10/2022 11:10:56.218"	"36.436299755339582873"	"40.170204990162872605"	"1084776448"	"1205760000"	"1401"	"2867482624"	"17374437376"
"08/10/2022 11:10:57.211"	"36.437302230959126348"	"29.901237032431520646"	"1085374464"	"1206349824"	"1397"	"2868035584"	"17374429184"
"08/10/2022 11:10:58.210"	"36.43588208044783272"	"39.088220048792102546"	"1085997056"	"1206972416"	"1397"	"2868584448"	"17374429184"
"08/10/2022 11:10:59.207"	"36.413266960627694857"	"32.932839890242938452"	"1086328832"	"1207304192"	"1397"	"2868858880"	"17374429184"
"08/10/2022 11:11:00.222"	"36.411930349751358449"	"41.572538228258487436"	"1086992384"	"1207967744"	"1397"	"2869407744"	"17374429184"
"08/10/2022 11:11:01.219"	"36.411071088260754891"	"21.932977633075271484"	"1087606784"	"1208582144"	"1397"	"2869960704"	"17374429184"
"08/10/2022 11:11:02.216"	"36.411381381659623457"	"51.725917691763591222"	"1088245760"	"1209270272"	"1399"	"2870480896"	"17373380608"
"08/10/2022 11:11:03.217"	"36.41456778543409456"	"26.526744600952380182"	"1090207744"	"1211236352"	"1402"	"2872209408"	"17390026752"
"08/10/2022 11:11:04.209"	"36.41456778543409456"	"44.086374629787819401"	"1090281472"	"1211310080"	"1402"	"2872209408"	"17390026752"
"08/10/2022 11:11:05.206"	"36.41456778543409456"	"21.955160486452086843"	"1090879488"	"1211908096"	"1402"	"2872758272"	"17390026752"
"08/10/2022 11:11:06.213"	"38.23004100430524943"	"77.592690862873425317"	"1312829440"	"1445003264"	"1506"	"3473428480"	"17947488256"
"08/10/2022 11:11:07.217"	"37.895958134414620133"	"46.649087797613717044"	"1194242048"	"1327104000"	"1527"	"3357396992"	"17834713088"
"08/10/2022 11:11:08.213"	"37.890182025239376173"	"59.653078792097232963"	"1195544576"	"1328406528"	"1527"	"3356651520"	"17851359232"
"08/10/2022 11:11:09.211"	"37.862673946158651006"	"35.997176118569363723"	"1195773952"	"1328889856"	"1529"	"3347091456"	"17852178432"
