"(PDH-TSV 4.0) ("	"\\PC-201912230946\Memory\% Committed Bytes In Use"	"\\PC-201912230946\Process(HQVRMeeting)\% Processor Time"	"\\PC-201912230946\Process(HQVRMeeting)\Working Set - Private"	"\\PC-201912230946\Process(HQVRMeeting)\Working Set"	"\\PC-201912230946\Process(HQVRMeeting)\Handle Count"	"\\PC-201912230946\Process(HQVRMeeting)\Private Bytes"	"\\PC-201912230946\Process(HQVRMeeting)\Virtual Bytes"
"08/10/2022 11:43:25.656"	"37.511203120814450074"	" "	"1053884416"	"1174917120"	"1401"	"2765828096"	"17279254528"
"08/10/2022 11:43:26.660"	"37.518912539239721582"	"34.448844543162721266"	"1054482432"	"1175515136"	"1401"	"2766381056"	"17279254528"
"08/10/2022 11:43:27.657"	"37.503278869554236508"	"31.364433134290457872"	"1055080448"	"1176117248"	"1401"	"2766929920"	"17279254528"
"08/10/2022 11:43:28.667"	"37.486356342557435539"	"26.278032415690429247"	"1055678464"	"1176715264"	"1401"	"2767478784"	"17279254528"
"08/10/2022 11:43:29.666"	"37.486034128229604789"	"21.900500943298375489"	"1056075776"	"1177112576"	"1401"	"2767753216"	"17279254528"
"08/10/2022 11:43:30.664"	"37.483277343558910388"	"37.579804472778391755"	"1056673792"	"1177710592"	"1401"	"2768306176"	"17279254528"
"08/10/2022 11:43:31.660"	"37.459110826593615684"	"21.97745670541497276"	"1057533952"	"1178570752"	"1401"	"2769121280"	"17279254528"
"08/10/2022 11:43:32.662"	"37.458716993559782793"	"31.177257223446254386"	"1058164736"	"1179201536"	"1401"	"2769670144"	"17279254528"
"08/10/2022 11:43:33.659"	"37.456807549450729766"	"37.618064294789192559"	"1058578432"	"1179615232"	"1401"	"2770026496"	"17279254528"
"08/10/2022 11:43:34.658"	"37.459206287157535087"	"31.286395463843085452"	"1059176448"	"1180213248"	"1401"	"2770579456"	"17279254528"
"08/10/2022 11:43:35.671"	"37.461712452923343619"	"30.839334174334311456"	"1059856384"	"1180893184"	"1401"	"2771128320"	"17279254528"
"08/10/2022 11:43:36.671"	"37.464600507510965599"	"29.677498682943848962"	"1060458496"	"1181495296"	"1401"	"2771677184"	"17279254528"
