"(PDH-TSV 4.0) ("	"\\YJYVR04\Process(HQVRMeeting)\% Processor Time"	"\\YJYVR04\Process(HQVRMeeting)\Handle Count"	"\\YJYVR04\Process(HQVRMeeting)\Private Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Virtual Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Working Set"	"\\YJYVR04\Process(HQVRMeeting)\Working Set - Private"
"08/05/2022 10:59:56.203"	" "	"1491"	"3300188160"	"17818034176"	"1360695296"	"1223798784"
"08/05/2022 10:59:57.213"	"29.614494348531998469"	"1491"	"3300741120"	"17818034176"	"1361371136"	"1224474624"
"08/05/2022 10:59:58.213"	"25.016999050855055486"	"1491"	"3301421056"	"17818034176"	"1362157568"	"1225256960"
"08/05/2022 10:59:59.213"	"26.539172067752446083"	"1491"	"3301695488"	"17818034176"	"1362440192"	"1225539584"
"08/05/2022 11:00:00.211"	"45.409981607516854751"	"1491"	"3302375424"	"17818034176"	"1363107840"	"1226203136"
"08/05/2022 11:00:01.198"	"33.243397595290396396"	"1491"	"3302928384"	"17818034176"	"1363640320"	"1226735616"
"08/05/2022 11:00:02.213"	"33.892833768246177328"	"1491"	"3303477248"	"17818034176"	"1364172800"	"1227268096"
"08/05/2022 11:00:03.213"	"26.559971490714083586"	"1491"	"3303751680"	"17818034176"	"1364439040"	"1227534336"
"08/05/2022 11:00:04.211"	"46.935532756596181514"	"1491"	"3304300544"	"17818034176"	"1364975616"	"1228070912"
"08/05/2022 11:00:05.209"	"28.189941167467498673"	"1494"	"3306065920"	"17817051136"	"1366941696"	"1229987840"
"08/05/2022 11:00:06.196"	"41.154906460089463849"	"1494"	"3306614784"	"17817051136"	"1367474176"	"1230520320"
"08/05/2022 11:00:07.213"	"39.968902472139340887"	"1494"	"3306889216"	"17817051136"	"1367744512"	"1230790656"
"08/05/2022 11:00:08.215"	"67.021427604538700962"	"1486"	"3890319360"	"18231173120"	"1556647936"	"1419612160"
"08/05/2022 11:00:09.210"	"62.800292157007163496"	"1616"	"3907158016"	"18451275776"	"1611743232"	"1462349824"
"08/05/2022 11:00:10.205"	"78.533057768163374135"	"1661"	"3908145152"	"18453266432"	"1615347712"	"1465372672"
"08/05/2022 11:00:11.198"	"69.249099031449361519"	"1809"	"3918344192"	"18476511232"	"1626357760"	"1475428352"
"08/05/2022 11:00:12.205"	"60.499922212612830208"	"1825"	"3844767744"	"18470346752"	"1621037056"	"1470070784"
"08/05/2022 11:00:13.199"	"39.311233970702829765"	"1825"	"3776331776"	"18470346752"	"1614409728"	"1463443456"
"08/05/2022 11:00:14.209"	"51.044940039457920022"	"1825"	"3761270784"	"18470346752"	"1610432512"	"1459466240"
"08/05/2022 11:00:15.202"	"29.905475026372219105"	"1825"	"3574992896"	"18302574592"	"1428561920"	"1277595648"
"08/05/2022 11:00:16.205"	"42.02846847812561748"	"1899"	"3701800960"	"18433581056"	"1526157312"	"1375129600"
"08/05/2022 11:00:17.196"	"44.18248913136014977"	"1912"	"3899650048"	"18619179008"	"1708449792"	"1557422080"
"08/05/2022 11:00:18.201"	"35.734698439416625604"	"1912"	"3885842432"	"18619179008"	"1693655040"	"1542627328"
"08/05/2022 11:00:19.207"	"54.387893411563716484"	"1912"	"3864551424"	"18621136896"	"1672572928"	"1521545216"
"08/05/2022 11:00:20.200"	"45.616878622609362992"	"1909"	"3838107648"	"18619039744"	"1646653440"	"1495625728"
"08/05/2022 11:00:21.205"	"57.523519097111844189"	"1910"	"3885748224"	"18620157952"	"1692872704"	"1541844992"
"08/05/2022 11:00:22.196"	"34.696546777606798173"	"1910"	"3874410496"	"18620157952"	"1683099648"	"1532071936"
"08/05/2022 11:00:23.213"	"52.232231037438779708"	"1910"	"3863957504"	"18619039744"	"1672486912"	"1521459200"
"08/05/2022 11:00:24.203"	"50.480784035229930851"	"1910"	"3850608640"	"18619039744"	"1659731968"	"1508704256"
"08/05/2022 11:00:25.191"	"37.986269837443074948"	"1912"	"3850739712"	"18619039744"	"1653190656"	"1502162944"
"08/05/2022 11:00:26.199"	"63.531503692141086503"	"1912"	"3883995136"	"18619039744"	"1691541504"	"1540513792"
"08/05/2022 11:00:27.205"	"48.16755936381331793"	"1912"	"3872956416"	"18619039744"	"1681620992"	"1530593280"
"08/05/2022 11:00:28.193"	"36.348040209757144225"	"1912"	"3865145344"	"18635620352"	"1673039872"	"1522012160"
"08/05/2022 11:00:29.214"	"58.152517771409428349"	"1912"	"3852689408"	"18635620352"	"1661480960"	"1510453248"
"08/05/2022 11:00:30.214"	"62.543667988989916751"	"1912"	"3854667776"	"18635620352"	"1657057280"	"1506021376"
"08/05/2022 11:00:31.215"	"48.350319538839521272"	"1912"	"3891437568"	"18635620352"	"1699450880"	"1548414976"
"08/05/2022 11:00:32.208"	"42.498478365592383454"	"1912"	"3876773888"	"18635620352"	"1684901888"	"1533865984"
"08/05/2022 11:00:33.196"	"47.474267680936463876"	"1912"	"3867750400"	"18635620352"	"1676103680"	"1525067776"
"08/05/2022 11:00:34.202"	"54.331708804891164277"	"1912"	"3855028224"	"18635620352"	"1662881792"	"1511845888"
"08/05/2022 11:00:35.193"	"44.16036906157852826"	"1912"	"3844313088"	"18635620352"	"1653264384"	"1502228480"
"08/05/2022 11:00:36.208"	"43.113239016348046562"	"1912"	"3908771840"	"18645979136"	"1718345728"	"1565130752"
"08/05/2022 11:00:37.198"	"55.220287421154267804"	"1912"	"3909619712"	"18636763136"	"1711423488"	"1560387584"
"08/05/2022 11:00:38.201"	"49.82594799845180944"	"1912"	"3882504192"	"18636763136"	"1691463680"	"1540427776"
"08/05/2022 11:00:39.206"	"46.659976828779932134"	"1912"	"3868102656"	"18636763136"	"1676738560"	"1525702656"
"08/05/2022 11:00:40.197"	"42.571683904225288586"	"1912"	"3852836864"	"18636763136"	"1661792256"	"1510756352"
"08/05/2022 11:00:41.209"	"66.412670020142002159"	"1912"	"3914416128"	"18636763136"	"1721729024"	"1570693120"
"08/05/2022 11:00:42.200"	"31.532066951709825986"	"1912"	"3897901056"	"18635681792"	"1706352640"	"1555316736"
