Frame, Time (ms)
    1,     0.000
    2,    10.732
    3,    21.874
    4,    32.783
    5,    44.006
    6,    55.183
    7,    66.142
    8,    77.179
    9,    87.857
   10,    99.161
   11,   113.121
   12,   124.110
   13,   135.727
   14,   146.195
   15,   157.470
   16,   168.258
   17,   180.575
   18,   191.317
   19,   201.964
   20,   213.007
   21,   224.202
   22,   234.962
   23,   246.281
   24,   257.559
   25,   268.395
   26,   280.318
   27,   291.212
   28,   302.129
   29,   313.662
   30,   324.221
   31,   334.895
   32,   346.558
   33,   357.783
   34,   368.568
   35,   379.860
   36,   390.473
   37,   402.607
   38,   413.922
   39,   424.280
   40,   435.367
   41,   446.163
   42,   457.773
   43,   469.154
   44,   480.031
   45,   491.043
   46,   502.018
   47,   513.407
   48,   524.200
   49,   535.136
   50,   546.875
   51,   557.691
   52,   568.765
   53,   579.663
   54,   590.634
   55,   602.140
   56,   613.603
   57,   624.542
   58,   635.549
   59,   646.289
   60,   658.311
   61,   668.493
   62,   679.433
   63,   691.550
   64,   702.442
   65,   713.399
   66,   724.332
   67,   735.639
   68,   745.813
   69,   758.463
   70,   768.861
   71,   779.921
   72,   791.392
   73,   801.745
   74,   812.587
   75,   823.996
   76,   835.736
   77,   846.920
   78,   857.945
   79,   868.390
   80,   879.232
   81,   890.693
   82,   902.354
   83,   913.217
   84,   924.900
   85,   935.848
   86,   946.319
   87,   957.316
   88,   968.470
   89,   980.146
   90,   991.126
   91,  1002.435
   92,  1013.037
   93,  1023.773
   94,  1034.719
   95,  1046.706
   96,  1057.930
   97,  1068.704
   98,  1079.734
   99,  1090.883
  100,  1102.024
  101,  1113.398
  102,  1124.358
  103,  1135.387
  104,  1146.499
  105,  1157.454
  106,  1168.351
  107,  1180.158
  108,  1190.990
  109,  1202.191
  110,  1212.911
  111,  1224.376
  112,  1234.886
  113,  1246.905
  114,  1257.855
  115,  1268.752
  116,  1279.867
  117,  1290.856
  118,  1302.176
  119,  1312.933
  120,  1324.942
  121,  1335.754
  122,  1346.985
  123,  1357.426
  124,  1369.023
  125,  1379.472
  126,  1391.437
  127,  1402.886
  128,  1413.315
  129,  1424.805
  130,  1435.394
  131,  1446.243
  132,  1458.122
  133,  1468.924
  134,  1480.096
  135,  1491.330
  136,  1502.385
  137,  1513.180
  138,  1523.662
  139,  1535.656
  140,  1546.724
  141,  1557.614
  142,  1569.352
  143,  1579.593
  144,  1591.237
  145,  1602.708
  146,  1613.773
  147,  1624.676
  148,  1635.698
  149,  1646.605
  150,  1657.664
  151,  1669.201
  152,  1680.561
  153,  1691.228
  154,  1702.037
  155,  1713.634
  156,  1723.986
  157,  1735.475
  158,  1746.998
  159,  1757.151
  160,  1769.317
  161,  1780.145
  162,  1791.224
  163,  1801.902
  164,  1813.167
  165,  1824.013
  166,  1836.134
  167,  1846.671
  168,  1858.081
  169,  1869.024
  170,  1879.492
  171,  1890.921
  172,  1901.544
  173,  1913.403
  174,  1924.323
  175,  1935.631
  176,  1946.327
  177,  1957.486
  178,  1968.521
