"(PDH-TSV 4.0) ("	"\\YJYVR04\Process(HQVRMeeting)\% Processor Time"	"\\YJYVR04\Process(HQVRMeeting)\Handle Count"	"\\YJYVR04\Process(HQVRMeeting)\Private Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Virtual Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Working Set"	"\\YJYVR04\Process(HQVRMeeting)\Working Set - Private"
"08/05/2022 10:53:42.905"	" "	"1489"	"3288367104"	"17833734144"	"1341968384"	"1204936704"
"08/05/2022 10:53:43.907"	"25.17236271924750568"	"1489"	"3288915968"	"17833734144"	"1342640128"	"1205600256"
"08/05/2022 10:53:44.901"	"62.900917870321862324"	"1489"	"3289464832"	"17833734144"	"1343381504"	"1206333440"
"08/05/2022 10:53:45.915"	"32.348167927928919596"	"1489"	"3290435584"	"17833734144"	"1347104768"	"1207447552"
"08/05/2022 10:53:46.915"	"24.997190315808502703"	"1489"	"3290435584"	"17833734144"	"1347248128"	"1207590912"
"08/05/2022 10:53:47.913"	"45.399935736234411365"	"1489"	"3290984448"	"17833734144"	"1347739648"	"1208082432"
"08/05/2022 10:53:48.913"	"48.461609650801271698"	"1489"	"3291533312"	"17833734144"	"1348464640"	"1208807424"
"08/05/2022 10:53:49.913"	"24.988567730263405053"	"1489"	"3291807744"	"17833734144"	"1348730880"	"1209073664"
"08/05/2022 10:53:50.912"	"32.852711719144231495"	"1489"	"3292221440"	"17833734144"	"1349275648"	"1209614336"
"08/05/2022 10:53:51.909"	"26.630767973700582019"	"1492"	"3294375936"	"17833734144"	"1351696384"	"1211985920"
"08/05/2022 10:53:52.907"	"31.322872663251054348"	"1492"	"3294650368"	"17833734144"	"1351970816"	"1212260352"
"08/05/2022 10:53:53.907"	"18.744802066386988315"	"1492"	"3294928896"	"17833734144"	"1352237056"	"1212526592"
"08/05/2022 10:53:54.906"	"109.46665643143003877"	"1481"	"3833479168"	"18365157376"	"1547354112"	"1407459328"
"08/05/2022 10:53:55.898"	"42.538193373812383413"	"1615"	"3901566976"	"18456842240"	"1598812160"	"1446412288"
"08/05/2022 10:53:56.904"	"46.612214319331904733"	"1808"	"3901894656"	"18463891456"	"1600229376"	"1446895616"
"08/05/2022 10:53:57.909"	"63.700249421589305143"	"1824"	"3925704704"	"18484109312"	"1613307904"	"1459650560"
"08/05/2022 10:53:58.899"	"58.413227472651499284"	"1826"	"3756150784"	"18450489344"	"1604784128"	"1451126784"
"08/05/2022 10:53:59.908"	"38.702462601160185329"	"1826"	"3754532864"	"18450489344"	"1605455872"	"1451798528"
"08/05/2022 10:54:00.911"	"45.185677359355494787"	"1827"	"3747028992"	"18450489344"	"1606279168"	"1452621824"
"08/05/2022 10:54:01.903"	"48.824182644123190755"	"1827"	"3735822336"	"18450489344"	"1595424768"	"1441767424"
"08/05/2022 10:54:02.918"	"64.682555757841527111"	"1827"	"3747160064"	"18461118464"	"1598533632"	"1444876288"
"08/05/2022 10:54:03.913"	"40.831591520456903766"	"1827"	"3576107008"	"18293411840"	"1432395776"	"1278738432"
"08/05/2022 10:54:04.908"	"67.483414773783039209"	"1827"	"3567583232"	"18293411840"	"1423970304"	"1270312960"
"08/05/2022 10:54:05.905"	"53.30229943862268982"	"1827"	"3568336896"	"18293411840"	"1428770816"	"1275113472"
"08/05/2022 10:54:06.915"	"69.645353232316992376"	"1827"	"3577397248"	"18293411840"	"1432027136"	"1278369792"
"08/05/2022 10:54:07.907"	"47.26294845984293147"	"1827"	"3577700352"	"18293411840"	"1432301568"	"1278644224"
"08/05/2022 10:54:08.906"	"60.986954321259112533"	"1827"	"3568291840"	"18293411840"	"1429331968"	"1275674624"
"08/05/2022 10:54:09.901"	"65.95259975349556214"	"1827"	"3569106944"	"18293411840"	"1430130688"	"1276473344"
"08/05/2022 10:54:10.910"	"37.143088349738526688"	"1827"	"3569381376"	"18293411840"	"1430396928"	"1276739584"
"08/05/2022 10:54:11.904"	"40.885658337599700474"	"1827"	"3579891712"	"18293411840"	"1440776192"	"1287118848"
"08/05/2022 10:54:12.914"	"47.94809855288060163"	"1827"	"3580715008"	"18293411840"	"1441583104"	"1287925760"
"08/05/2022 10:54:13.910"	"47.069595120145706346"	"1827"	"3581313024"	"18293411840"	"1442172928"	"1288515584"
"08/05/2022 10:54:14.905"	"51.835559359594476803"	"1827"	"3581931520"	"18293411840"	"1442721792"	"1289064448"
"08/05/2022 10:54:15.913"	"61.975458313472266525"	"1827"	"3582521344"	"18293411840"	"1443307520"	"1289650176"
"08/05/2022 10:54:16.910"	"51.754322219875746214"	"1827"	"3583070208"	"18293411840"	"1443852288"	"1290186752"
"08/05/2022 10:54:17.904"	"26.698754423323990181"	"1827"	"3583598592"	"18293411840"	"1444372480"	"1290706944"
"08/05/2022 10:54:18.910"	"43.518343155713509418"	"1827"	"3584139264"	"18293411840"	"1444896768"	"1291231232"
"08/05/2022 10:54:19.903"	"40.886234417564146781"	"1827"	"3584716800"	"18293411840"	"1445507072"	"1291804672"
"08/05/2022 10:54:20.912"	"66.621985934592800049"	"1827"	"3585294336"	"18293411840"	"1446072320"	"1292369920"
"08/05/2022 10:54:21.906"	"58.136868846039590153"	"1747"	"3571449856"	"18247581696"	"1423319040"	"1278803968"
"08/05/2022 10:54:22.906"	"37.510851889451615193"	"1795"	"3592871936"	"18247581696"	"1431793664"	"1287254016"
"08/05/2022 10:54:23.903"	"67.376653216239262179"	"1758"	"3522527232"	"18141413376"	"1444122624"	"1299517440"
"08/05/2022 10:54:24.916"	"24.694709188190081761"	"1758"	"3522461696"	"18139316224"	"1444081664"	"1299476480"
"08/05/2022 10:54:25.917"	"37.435315518315903205"	"1758"	"3522461696"	"18139316224"	"1444081664"	"1299476480"
"08/05/2022 10:54:26.917"	"42.179439509109812434"	"1758"	"3429781504"	"18105761792"	"1439875072"	"1295269888"
"08/05/2022 10:54:27.916"	"29.722307794658327396"	"1754"	"3429785600"	"18105761792"	"1439879168"	"1295265792"
"08/05/2022 10:54:28.913"	"31.340715701598277576"	"1754"	"3429785600"	"18105761792"	"1439879168"	"1295265792"
"08/05/2022 10:54:29.910"	"12.539595025251735194"	"1754"	"3426840576"	"18105761792"	"1436934144"	"1292320768"
