Frame, Time (ms)
    1,     0.000
    2,    10.054
    3,    21.084
    4,    33.069
    5,    44.038
    6,    54.843
    7,    65.969
    8,    76.689
    9,    87.890
   10,    99.732
   11,   110.795
   12,   121.432
   13,   133.536
   14,   144.916
   15,   156.413
   16,   167.896
   17,   178.300
   18,   189.406
   19,   200.256
   20,   211.472
   21,   222.279
   22,   234.295
   23,   245.027
   24,   255.917
   25,   266.847
   26,   277.941
   27,   289.403
   28,   301.266
   29,   311.852
   30,   322.683
   31,   333.609
   32,   344.626
   33,   355.678
   34,   366.852
   35,   378.474
   36,   389.748
   37,   400.549
   38,   411.771
   39,   422.267
   40,   433.413
   41,   445.167
   42,   456.142
   43,   467.746
   44,   478.086
   45,   488.986
   46,   500.036
   47,   510.949
   48,   523.198
   49,   533.915
   50,   544.902
   51,   556.033
   52,   567.001
   53,   577.799
   54,   589.135
   55,   600.700
   56,   612.045
   57,   622.582
   58,   633.680
   59,   645.080
   60,   655.451
   61,   667.452
   62,   678.403
   63,   689.454
   64,   700.472
   65,   711.571
   66,   722.320
   67,   733.537
   68,   745.027
   69,   755.939
   70,   767.197
   71,   778.031
   72,   788.962
   73,   800.025
   74,   812.134
   75,   822.804
   76,   833.860
   77,   844.736
   78,   855.575
   79,   866.929
   80,   878.809
   81,   889.235
   82,   900.160
   83,   911.160
   84,   923.060
   85,   934.580
   86,   944.967
   87,   955.836
   88,   966.774
   89,   977.873
   90,   989.005
   91,  1001.131
   92,  1011.989
   93,  1023.072
   94,  1033.911
   95,  1044.721
   96,  1055.539
   97,  1067.359
   98,  1078.510
   99,  1089.232
  100,  1100.997
  101,  1112.054
  102,  1122.711
  103,  1133.688
  104,  1144.623
  105,  1156.503
  106,  1168.059
  107,  1178.613
  108,  1189.410
  109,  1200.592
  110,  1211.211
  111,  1223.391
  112,  1234.138
  113,  1245.495
  114,  1256.252
  115,  1266.863
  116,  1278.056
  117,  1289.452
  118,  1300.956
  119,  1311.822
  120,  1322.872
  121,  1334.277
  122,  1345.013
  123,  1355.722
  124,  1367.772
  125,  1378.969
  126,  1389.440
  127,  1400.928
  128,  1411.357
  129,  1422.879
  130,  1434.941
  131,  1445.292
  132,  1456.299
  133,  1467.279
  134,  1478.119
  135,  1489.020
  136,  1501.193
  137,  1512.457
  138,  1523.212
  139,  1534.069
  140,  1544.868
