Frame, Time (ms)
    1,     0.000
    2,     9.510
    3,    20.684
    4,    32.547
    5,    43.540
    6,    54.665
    7,    65.665
    8,    76.171
    9,    87.465
   10,    98.339
   11,   110.097
   12,   121.618
   13,   131.983
   14,   143.487
   15,   154.518
   16,   164.925
   17,   177.098
   18,   187.822
   19,   198.838
   20,   209.333
   21,   221.303
   22,   232.139
   23,   243.723
   24,   254.112
   25,   265.184
   26,   276.246
   27,   288.045
   28,   299.238
   29,   309.433
   30,   320.385
   31,   332.337
   32,   343.394
   33,   354.302
   34,   365.476
   35,   377.367
   36,   388.341
   37,   399.329
   38,   409.722
   39,   422.098
   40,   432.544
   41,   443.702
   42,   454.616
   43,   465.598
   44,   476.371
   45,   488.515
   46,   499.718
   47,   510.086
   48,   521.069
   49,   531.960
   50,   543.474
   51,   555.036
   52,   565.900
   53,   576.935
   54,   588.026
   55,   598.991
   56,   609.600
   57,   621.924
   58,   632.554
   59,   643.787
   60,   654.516
   61,   665.936
   62,   676.394
   63,   688.378
   64,   699.412
   65,   710.204
   66,   721.335
   67,   732.116
   68,   743.115
   69,   754.041
   70,   766.207
   71,   777.071
   72,   788.108
   73,   798.874
   74,   809.826
   75,   820.783
   76,   832.751
   77,   844.019
   78,   854.546
   79,   866.135
   80,   876.663
   81,   887.461
   82,   899.477
   83,   910.348
   84,   921.644
   85,   932.367
   86,   943.616
   87,   954.648
   88,   965.464
   89,   977.051
   90,   988.472
   91,   999.507
   92,  1009.959
   93,  1021.051
   94,  1031.865
   95,  1044.095
   96,  1054.852
   97,  1066.034
   98,  1076.693
   99,  1088.028
  100,  1099.013
  101,  1132.528
  102,  1143.877
  103,  1154.316
  104,  1165.738
  105,  1177.815
  106,  1188.147
  107,  1199.302
  108,  1209.969
  109,  1221.134
  110,  1231.901
  111,  1243.199
  112,  1255.057
  113,  1266.002
  114,  1276.855
  115,  1287.787
  116,  1299.360
  117,  1309.640
  118,  1321.990
  119,  1332.679
  120,  1339.363
  121,  1350.411
  122,  1361.736
  123,  1373.395
  124,  1384.492
  125,  1395.695
  126,  1406.650
  127,  1417.430
  128,  1428.722
  129,  1440.705
  130,  1451.029
  131,  1462.548
  132,  1472.977
  133,  1484.404
  134,  1494.916
  135,  1505.705
  136,  1517.960
  137,  1528.785
  138,  1540.105
  139,  1550.676
  140,  1562.062
  141,  1572.597
  142,  1584.775
  143,  1595.514
  144,  1606.503
  145,  1617.954
  146,  1628.470
  147,  1639.980
  148,  1651.287
  149,  1662.402
  150,  1673.145
  151,  1684.239
  152,  1695.267
  153,  1706.143
  154,  1717.195
  155,  1728.902
  156,  1740.976
  157,  1750.868
  158,  1761.829
  159,  1772.713
  160,  1784.411
  161,  1795.826
  162,  1806.669
  163,  1817.694
  164,  1828.773
  165,  1839.445
  166,  1850.372
  167,  1862.671
  168,  1873.401
  169,  1884.416
  170,  1895.756
  171,  1906.688
  172,  1918.041
  173,  1928.581
  174,  1940.062
  175,  1950.440
  176,  1961.665
  177,  1973.896
  178,  1984.969
  179,  1995.716
  180,  2006.250
  181,  2018.309
  182,  2029.149
  183,  2040.306
  184,  2050.648
  185,  2061.590
  186,  2072.443
  187,  2084.474
  188,  2096.037
  189,  2106.570
  190,  2117.483
  191,  2128.592
  192,  2139.427
  193,  2150.528
  194,  2162.372
  195,  2173.086
  196,  2184.495
  197,  2195.015
  198,  2206.369
  199,  2217.288
  200,  2228.984
  201,  2240.659
  202,  2250.887
  203,  2261.900
  204,  2272.713
  205,  2284.030
  206,  2295.579
  207,  2306.901
  208,  2317.607
  209,  2328.437
