Frame, Time (ms)
    1,     0.000
    2,    10.416
    3,    32.142
    4,    43.506
    5,    65.173
    6,    77.182
    7,    99.033
    8,   110.341
    9,   131.910
   10,   143.370
   11,   164.860
   12,   176.819
   13,   198.747
   14,   209.987
   15,   231.669
   16,   243.734
   17,   265.610
   18,   276.636
   19,   298.496
   20,   310.356
   21,   332.362
   22,   343.627
   23,   365.351
   24,   376.693
   25,   398.310
   26,   410.192
   27,   432.054
   28,   443.318
   29,   465.544
   30,   476.690
   31,   498.458
   32,   510.171
   33,   532.339
   34,   543.655
   35,   565.778
   36,   576.798
   37,   598.654
   38,   610.139
   39,   631.604
   40,   643.930
   41,   665.507
   42,   676.779
   43,   698.373
   44,   710.393
   45,   732.371
   46,   743.513
   47,   765.207
   48,   776.951
   49,   798.303
   50,   810.375
   51,   832.042
   52,   843.456
   53,   865.005
   54,   876.912
   55,   898.900
   56,   909.939
   57,   931.806
   58,   943.338
   59,   965.719
   60,   976.906
   61,   998.621
   62,  1010.025
   63,  1031.502
   64,  1043.646
   65,  1065.456
   66,  1077.181
   67,  1147.007
   68,  1279.485
   69,  1287.947
   70,  1298.937
   71,  1320.829
   72,  1331.783
   73,  1344.726
   74,  1365.678
   75,  1376.745
   76,  1398.690
   77,  1410.418
   78,  1432.447
   79,  1443.680
   80,  1464.944
   81,  1477.380
   82,  1498.836
   83,  1510.110
   84,  1531.754
   85,  1543.607
   86,  1565.627
   87,  1576.749
   88,  1598.529
   89,  1610.210
   90,  1632.398
   91,  1643.704
   92,  1665.358
   93,  1676.927
   94,  1698.236
   95,  1710.494
   96,  1732.183
   97,  1743.748
   98,  1765.158
   99,  1777.037
  100,  1799.272
  101,  1810.074
  102,  1832.014
  103,  1843.795
  104,  1864.914
  105,  1876.906
  106,  1898.695
  107,  1910.273
  108,  1931.762
  109,  1943.779
  110,  1965.105
  111,  1977.047
  112,  1998.965
  113,  2010.463
  114,  2031.949
  115,  2043.581
  116,  2065.323
  117,  2077.032
  118,  2098.259
  119,  2110.347
  120,  2132.203
  121,  2143.318
  122,  2165.541
  123,  2176.696
  124,  2198.514
  125,  2210.509
  126,  2232.443
  127,  2243.663
  128,  2265.774
  129,  2277.164
  130,  2298.707
  131,  2310.255
  132,  2331.797
  133,  2343.861
  134,  2365.500
  135,  2376.704
  136,  2398.653
  137,  2410.269
  138,  2432.349
  139,  2443.512
  140,  2465.261
  141,  2476.838
  142,  2499.170
  143,  2513.043
  144,  2526.662
  145,  2546.988
  146,  2559.774
  147,  2579.909
  148,  2593.135
  149,  2613.797
  150,  2626.496
  151,  2646.738
  152,  2659.855
  153,  2679.675
  154,  2693.280
  155,  2713.742
  156,  2726.534
  157,  2746.501
  158,  2759.831
  159,  2780.442
  160,  2793.201
  161,  2813.331
  162,  2826.772
  163,  2848.768
  164,  2981.916
  165,  2991.053
  166,  3026.781
  167,  3046.768
  168,  3059.769
  169,  3080.511
  170,  3093.132
  171,  3113.495
  172,  3126.467
  173,  3146.350
  174,  3159.920
  175,  3179.806
  176,  3193.356
  177,  3213.795
  178,  3226.390
  179,  3246.639
  180,  3259.939
  181,  3280.620
  182,  3293.245
  183,  3313.436
  184,  3326.405
  185,  3346.377
  186,  3359.955
  187,  3380.248
  188,  3393.276
  189,  3413.440
  190,  3426.706
  191,  3447.472
  192,  3460.279
  193,  3480.294
  194,  3493.424
  195,  3515.568
  196,  3527.162
  197,  3547.838
  198,  3560.139
  199,  3581.734
  200,  3593.553
  201,  3614.591
  202,  3626.778
  203,  3648.567
  204,  3660.255
  205,  3681.981
  206,  3693.380
  207,  3714.992
  208,  3726.743
  209,  3747.709
  210,  3760.160
  211,  3781.330
  212,  3793.482
  213,  3815.160
  214,  3827.123
  215,  3848.002
  216,  3860.244
  217,  3881.512
  218,  3893.489
  219,  3914.397
  220,  3926.663
  221,  3948.228
  222,  3960.152
  223,  3981.676
  224,  4004.498
  225,  4014.734
  226,  4027.048
  227,  4048.639
  228,  4255.673
  229,  4260.363
  230,  4315.234
  231,  4327.232
  232,  4347.830
  233,  4360.538
  234,  4381.752
  235,  4393.859
  236,  4414.896
  237,  4427.224
  238,  4448.614
  239,  4460.690
  240,  4481.820
  241,  4493.796
  242,  4511.612
  243,  4533.384
  244,  4544.845
  245,  4566.348
  246,  4578.328
  247,  4600.254
  248,  4611.150
  249,  4633.190
  250,  4644.144
  251,  4667.144
  252,  4678.221
  253,  4699.877
  254,  4711.037
  255,  4734.176
  256,  4744.954
  257,  4766.781
  258,  4777.767
  259,  4799.984
  260,  4811.671
  261,  4833.616
  262,  4844.495
  263,  4866.466
  264,  4877.463
  265,  4899.902
  266,  4910.970
  267,  4933.847
  268,  4944.792
  269,  4966.705
  270,  4977.922
  271,  4999.784
  272,  5011.665
  273,  5033.649
  274,  5044.451
  275,  5066.456
  276,  5077.388
  277,  5100.481
  278,  5111.356
  279,  5133.306
  280,  5144.406
  281,  5167.302
  282,  5178.443
  283,  5200.332
  284,  5211.059
  285,  5233.046
  286,  5244.968
  287,  5266.983
  288,  5277.824
  289,  5299.794
  290,  5310.832
  291,  5333.812
  292,  5344.682
  293,  5366.699
  294,  5377.591
  295,  5400.063
  296,  5411.087
  297,  5432.955
  298,  5444.952
  299,  5466.938
  300,  5477.825
  301,  5500.303
  302,  5515.306
  303,  5527.276
  304,  5548.183
  305,  5560.851
  306,  5582.029
  307,  5593.838
  308,  5615.545
  309,  5627.446
  310,  5648.343
  311,  5660.511
  312,  5682.321
  313,  5694.005
  314,  5714.745
  315,  5727.364
  316,  5748.747
  317,  5760.623
  318,  5781.670
  319,  5794.012
  320,  5815.012
  321,  5827.242
  322,  5848.853
  323,  5860.752
  324,  5881.779
  325,  5893.798
  326,  5914.751
  327,  5927.040
  328,  5948.636
  329,  5960.625
  330,  5981.532
  331,  5993.859
  332,  6015.514
  333,  6027.389
  334,  6048.402
  335,  6060.556
  336,  6082.342
  337,  6093.918
  338,  6115.177
  339,  6127.390
  340,  6148.076
  341,  6160.701
  342,  6182.037
  343,  6194.128
  344,  6214.992
  345,  6227.148
  346,  6248.791
  347,  6260.901
  348,  6282.067
  349,  6293.970
  350,  6315.643
  351,  6327.225
  352,  6348.597
  353,  6360.831
  354,  6381.513
  355,  6394.177
  356,  6415.380
  357,  6427.268
  358,  6448.243
  359,  6460.591
  360,  6482.264
  361,  6493.876
  362,  6515.046
  363,  6527.237
  364,  6548.040
  365,  6560.761
  366,  6581.951
  367,  6593.914
  368,  6614.870
  369,  6627.442
  370,  6648.700
  371,  6660.647
  372,  6681.682
  373,  6694.026
  374,  6714.653
  375,  6727.370
  376,  6748.447
  377,  6760.626
  378,  6781.411
  379,  6794.350
  380,  6815.313
  381,  6827.508
  382,  6848.247
  383,  6860.797
  384,  6881.148
  385,  6893.975
  386,  6915.029
  387,  6927.303
  388,  6947.979
  389,  6960.555
  390,  6981.867
  391,  6994.085
  392,  7014.789
  393,  7027.397
  394,  7048.697
  395,  7060.880
  396,  7081.547
  397,  7093.935
  398,  7114.552
  399,  7127.420
  400,  7148.467
  401,  7160.783
  402,  7181.469
  403,  7194.033
  404,  7214.806
  405,  7227.447
  406,  7248.654
  407,  7260.780
  408,  7281.590
  409,  7294.306
  410,  7315.073
  411,  7327.303
  412,  7347.926
  413,  7360.793
  414,  7381.820
  415,  7394.027
  416,  7414.867
  417,  7427.372
  418,  7448.660
  419,  7460.711
  420,  7481.544
  421,  7494.115
  422,  7515.515
  423,  7527.531
  424,  7548.301
  425,  7560.669
  426,  7581.309
  427,  7593.970
  428,  7615.171
  429,  7627.413
  430,  7648.076
  431,  7660.811
  432,  7682.083
  433,  7693.984
  434,  7714.877
  435,  7727.288
  436,  7748.790
  437,  7760.936
  438,  7781.689
  439,  7794.213
  440,  7814.673
  441,  7827.381
  442,  7848.505
  443,  7861.087
  444,  7881.431
  445,  7894.131
  446,  7915.408
  447,  7927.331
  448,  7948.333
  449,  7960.752
  450,  7982.166
  451,  7994.218
  452,  8015.125
  453,  8027.467
  454,  8048.057
  455,  8060.692
  456,  8081.926
  457,  8095.119
  458,  8114.889
  459,  8127.474
  460,  8148.730
  461,  8160.794
  462,  8181.618
  463,  8193.991
  464,  8215.179
  465,  8227.277
  466,  8247.983
  467,  8260.503
  468,  8281.920
  469,  8294.092
  470,  8314.834
  471,  8327.375
  472,  8348.761
  473,  8360.913
  474,  8381.605
  475,  8393.881
  476,  8415.554
  477,  8427.448
  478,  8448.494
  479,  8460.630
  480,  8481.426
  481,  8494.035
  482,  8515.335
  483,  8527.453
  484,  8548.202
  485,  8560.623
  486,  8582.134
  487,  8594.167
  488,  8615.102
  489,  8627.396
  490,  8648.880
  491,  8660.696
  492,  8681.904
  493,  8694.224
  494,  8715.231
  495,  8737.313
  496,  8748.136
  497,  8760.781
  498,  8782.088
  499,  8794.223
  500,  8815.465
  501,  8827.424
  502,  8848.378
  503,  8860.700
  504,  8881.314
  505,  8894.087
  506,  8914.761
  507,  8927.473
  508,  8948.700
  509,  8960.670
  510,  8981.610
  511,  8994.095
  512,  9014.972
  513,  9027.345
  514,  9048.909
  515,  9060.813
  516,  9081.836
  517,  9093.963
  518,  9114.786
  519,  9127.481
  520,  9148.648
  521,  9160.704
  522,  9181.587
  523,  9194.074
  524,  9215.542
  525,  9227.442
  526,  9248.295
  527,  9260.687
  528,  9282.254
  529,  9294.026
  530,  9315.162
  531,  9327.595
  532,  9348.107
  533,  9371.069
  534,  9384.466
  535,  9394.599
  536,  9415.082
  537,  9427.558
  538,  9448.866
  539,  9461.104
  540,  9481.923
  541,  9494.034
  542,  9515.654
  543,  9527.581
  544,  9548.515
  545,  9560.772
  546,  9581.545
  547,  9594.292
  548,  9615.376
  549,  9627.489
  550,  9648.382
  551,  9660.718
  552,  9682.205
  553,  9694.151
  554,  9715.098
  555,  9727.359
  556,  9748.061
  557,  9761.111
  558,  9781.902
  559,  9794.175
  560,  9814.876
  561,  9827.378
  562,  9848.769
  563,  9860.847
  564,  9881.617
  565,  9894.014
  566,  9915.079
  567,  9927.455
  568,  9948.979
  569,  9960.888
  570,  9981.992
  571,  9994.053
  572, 10014.910
  573, 10027.587
  574, 10048.726
  575, 10060.959
  576, 10081.583
  577, 10094.208
  578, 10115.583
  579, 10127.733
  580, 10148.461
  581, 10160.730
  582, 10181.453
  583, 10193.925
  584, 10215.315
  585, 10227.700
  586, 10248.206
  587, 10260.818
  588, 10282.166
  589, 10294.292
  590, 10315.145
  591, 10327.436
  592, 10348.984
  593, 10361.032
  594, 10381.965
  595, 10394.332
  596, 10415.302
  597, 10427.677
  598, 10448.175
  599, 10460.967
  600, 10482.082
  601, 10494.171
  602, 10515.752
  603, 10527.685
  604, 10548.388
  605, 10560.730
  606, 10581.430
  607, 10594.120
  608, 10614.782
  609, 10627.465
  610, 10648.591
  611, 10660.832
  612, 10681.543
  613, 10694.106
  614, 10714.939
  615, 10727.469
  616, 10748.896
  617, 10760.792
  618, 10781.754
  619, 10794.090
  620, 10814.716
  621, 10827.404
  622, 10848.638
  623, 10860.895
  624, 10881.536
  625, 10894.168
  626, 10915.422
  627, 10927.550
  628, 10948.315
  629, 10961.411
  630, 10982.217
  631, 10994.345
  632, 11015.232
  633, 11027.510
  634, 11048.101
  635, 11060.600
  636, 11082.000
  637, 11094.253
  638, 11114.910
  639, 11127.579
  640, 11148.869
  641, 11160.822
  642, 11181.675
  643, 11194.087
  644, 11215.649
  645, 11227.633
  646, 11248.564
  647, 11261.202
  648, 11281.686
  649, 11294.285
  650, 11315.410
  651, 11327.610
  652, 11348.222
  653, 11360.863
  654, 11382.118
  655, 11394.411
  656, 11415.219
  657, 11427.458
  658, 11448.054
  659, 11460.851
  660, 11481.923
  661, 11493.975
  662, 11514.870
  663, 11527.524
  664, 11548.748
  665, 11560.979
  666, 11581.612
  667, 11594.517
  668, 11615.540
  669, 11627.445
  670, 11648.971
  671, 11660.746
  672, 11681.879
  673, 11694.110
  674, 11714.756
  675, 11727.537
  676, 11748.716
  677, 11760.860
  678, 11781.646
  679, 11794.198
  680, 11815.681
  681, 11827.549
  682, 11848.469
  683, 11861.332
  684, 11881.496
  685, 11894.119
  686, 11915.259
  687, 11927.614
  688, 11948.155
  689, 11960.637
  690, 11982.011
  691, 11994.046
  692, 12015.045
  693, 12027.491
  694, 12048.926
  695, 12061.229
  696, 12081.922
  697, 12093.978
  698, 12114.786
  699, 12127.452
  700, 12148.101
  701, 12160.922
  702, 12182.045
  703, 12194.106
  704, 12214.967
  705, 12227.586
  706, 12248.410
  707, 12260.874
  708, 12282.304
  709, 12294.194
  710, 12315.210
  711, 12327.852
  712, 12348.664
  713, 12360.877
  714, 12381.560
  715, 12394.338
  716, 12415.502
  717, 12427.599
  718, 12448.863
  719, 12461.073
  720, 12481.823
  721, 12494.074
  722, 12515.654
  723, 12527.685
  724, 12548.091
  725, 12560.794
  726, 12581.960
  727, 12594.223
  728, 12614.939
  729, 12627.556
  730, 12648.806
  731, 12660.932
  732, 12681.733
  733, 12694.087
  734, 12715.709
  735, 12727.520
  736, 12748.554
  737, 12760.792
  738, 12781.428
  739, 12794.147
  740, 12815.447
  741, 12827.662
  742, 12848.188
  743, 12860.909
  744, 12882.165
  745, 12894.209
  746, 12915.194
  747, 12927.415
  748, 12949.117
  749, 12961.014
  750, 12981.896
  751, 12994.249
  752, 13014.967
  753, 13027.566
  754, 13048.804
  755, 13060.868
  756, 13081.665
  757, 13094.193
  758, 13115.588
  759, 13127.678
  760, 13148.471
  761, 13160.905
  762, 13181.393
  763, 13194.079
  764, 13215.324
  765, 13227.640
  766, 13248.153
  767, 13260.956
  768, 13282.234
  769, 13294.087
  770, 13315.077
  771, 13327.489
  772, 13349.007
  773, 13361.046
  774, 13381.959
  775, 13394.122
  776, 13414.768
  777, 13427.519
  778, 13448.660
  779, 13460.890
  780, 13481.638
  781, 13494.152
  782, 13515.498
  783, 13527.604
  784, 13548.461
  785, 13560.729
  786, 13582.355
  787, 13594.360
  788, 13615.245
  789, 13627.592
  790, 13648.232
  791, 13660.917
  792, 13682.047
  793, 13694.317
  794, 13714.974
  795, 13727.477
  796, 13748.946
  797, 13761.029
  798, 13781.767
  799, 13794.026
  800, 13815.736
  801, 13827.512
  802, 13848.646
  803, 13860.808
  804, 13881.473
  805, 13894.127
  806, 13915.437
  807, 13927.552
  808, 13948.799
  809, 13960.999
  810, 13981.714
  811, 13993.954
  812, 14015.723
  813, 14027.425
  814, 14048.103
  815, 14060.615
  816, 14082.019
  817, 14094.333
  818, 14114.887
  819, 14127.526
  820, 14148.938
  821, 14160.919
  822, 14181.811
  823, 14194.316
  824, 14215.652
  825, 14227.621
  826, 14248.550
  827, 14260.895
  828, 14281.518
  829, 14294.070
  830, 14315.489
  831, 14328.074
  832, 14348.248
  833, 14360.781
  834, 14382.327
  835, 14394.111
  836, 14415.242
  837, 14427.406
  838, 14449.002
  839, 14460.864
  840, 14481.983
  841, 14494.190
  842, 14514.769
  843, 14527.352
  844, 14548.756
  845, 14560.993
  846, 14581.662
  847, 14594.085
  848, 14615.534
  849, 14627.735
  850, 14648.556
  851, 14660.985
  852, 14681.476
  853, 14694.177
  854, 14715.348
  855, 14727.614
  856, 14748.258
  857, 14761.053
  858, 14782.192
  859, 14794.336
  860, 14815.055
  861, 14827.312
  862, 14848.974
  863, 14860.979
  864, 14881.948
  865, 14894.087
  866, 14914.792
  867, 14927.605
  868, 14948.247
  869, 14961.172
  870, 14982.230
  871, 14994.259
  872, 15015.055
  873, 15027.602
  874, 15048.978
  875, 15060.832
  876, 15082.036
  877, 15094.324
  878, 15114.784
  879, 15127.682
  880, 15148.647
  881, 15160.906
  882, 15181.523
  883, 15194.285
  884, 15215.598
  885, 15227.728
  886, 15248.392
  887, 15261.121
  888, 15282.303
  889, 15294.202
  890, 15315.258
  891, 15327.486
  892, 15348.130
  893, 15361.094
  894, 15382.085
  895, 15394.560
  896, 15415.053
  897, 15427.407
  898, 15448.381
  899, 15460.983
  900, 15482.328
  901, 15494.472
  902, 15515.173
  903, 15527.528
  904, 15548.635
  905, 15561.128
  906, 15581.511
  907, 15594.108
  908, 15615.435
  909, 15627.640
  910, 15648.810
  911, 15660.883
  912, 15681.812
  913, 15694.032
  914, 15714.675
  915, 15727.520
  916, 15748.142
  917, 15760.982
  918, 15782.116
  919, 15794.090
  920, 15814.973
  921, 15827.534
  922, 15848.812
  923, 15860.749
  924, 15881.667
  925, 15893.959
  926, 15915.662
  927, 15927.743
  928, 15948.485
  929, 15960.915
  930, 15981.433
  931, 15994.034
  932, 16015.410
  933, 16027.658
  934, 16048.800
  935, 16082.397
  936, 16093.469
  937, 16104.270
  938, 16115.117
  939, 16137.157
  940, 16148.084
