"(PDH-TSV 4.0) ("	"\\YJYVR04\Process(HQVRMeeting)\% Processor Time"	"\\YJYVR04\Process(HQVRMeeting)\Handle Count"	"\\YJYVR04\Process(HQVRMeeting)\Private Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Virtual Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Working Set"	"\\YJYVR04\Process(HQVRMeeting)\Working Set - Private"
"08/05/2022 10:01:01.785"	" "	"1174"	"2488340480"	"16211841024"	"234364928"	"179376128"
"08/05/2022 10:01:02.784"	"39.425999833262714844"	"1173"	"2437783552"	"16150761472"	"256057344"	"200851456"
"08/05/2022 10:01:03.780"	"32.949735648977998892"	"1176"	"2456915968"	"16152895488"	"263020544"	"207175680"
"08/05/2022 10:01:04.797"	"26.11239285071438232"	"1176"	"2456932352"	"16152895488"	"263782400"	"207912960"
"08/05/2022 10:01:05.778"	"36.62941126407270076"	"1176"	"2457481216"	"16152895488"	"264687616"	"208809984"
"08/05/2022 10:01:06.795"	"19.977206560529385371"	"1176"	"2457735168"	"16152895488"	"265572352"	"209694720"
"08/05/2022 10:01:07.792"	"32.901557937023930833"	"1180"	"2457096192"	"16152895488"	"266285056"	"210407424"
"08/05/2022 10:01:08.792"	"21.881722065018376355"	"1180"	"2457649152"	"16152895488"	"267218944"	"211341312"
"08/05/2022 10:01:09.790"	"17.221660886534529311"	"1184"	"2458836992"	"16152961024"	"268804096"	"212717568"
"08/05/2022 10:01:10.791"	"32.795243143058122826"	"1184"	"2454499328"	"16152961024"	"264859648"	"208773120"
"08/05/2022 10:01:11.789"	"25.039201373670614714"	"1184"	"2454732800"	"16152961024"	"265445376"	"209358848"
"08/05/2022 10:01:12.789"	"18.760087298940639755"	"1295"	"2458701824"	"16180203520"	"270663680"	"212189184"
"08/05/2022 10:01:13.788"	"40.645253529833915707"	"1565"	"2641170432"	"16889741312"	"675790848"	"541110272"
"08/05/2022 10:01:14.791"	"20.257335224716051414"	"1565"	"2641657856"	"16889741312"	"2709741568"	"2574573568"
"08/05/2022 10:01:15.791"	"23.42741215632548446"	"1566"	"2665570304"	"16923295744"	"2733539328"	"2598371328"
"08/05/2022 10:01:16.794"	"124.65849804460680161"	"1497"	"3296460800"	"17802534912"	"3018387456"	"2882187264"
"08/05/2022 10:01:17.794"	"50.011597689504192488"	"1505"	"3330338816"	"17819508736"	"1387806720"	"1250996224"
"08/05/2022 10:01:18.790"	"45.494578401679206081"	"1505"	"3331018752"	"17819508736"	"1388765184"	"1251946496"
"08/05/2022 10:01:19.788"	"40.682846940064074204"	"1505"	"3336388608"	"17824313344"	"1389461504"	"1252638720"
"08/05/2022 10:01:20.788"	"32.83124992683321608"	"1505"	"3326087168"	"17824313344"	"1380216832"	"1243394048"
"08/05/2022 10:01:21.787"	"76.615142264249769255"	"1505"	"3326361600"	"17824313344"	"1380683776"	"1243860992"
"08/05/2022 10:01:22.787"	"40.637178962535067228"	"1505"	"3326910464"	"17824313344"	"1381298176"	"1244475392"
"08/05/2022 10:01:23.785"	"51.645070138136851767"	"1495"	"3300290560"	"17813819392"	"1354964992"	"1218146304"
"08/05/2022 10:01:24.785"	"51.558045384878745665"	"1493"	"3300552704"	"17812770816"	"1355366400"	"1218547712"
"08/05/2022 10:01:25.784"	"53.192149769869480735"	"1493"	"3301142528"	"17812770816"	"1356091392"	"1219268608"
"08/05/2022 10:01:26.784"	"37.505805898753123984"	"1493"	"3301740544"	"17813819392"	"1356787712"	"1219964928"
"08/05/2022 10:01:27.780"	"37.635774821245121302"	"1493"	"3302289408"	"17813819392"	"1357451264"	"1220628480"
"08/05/2022 10:01:28.792"	"50.950855361724642023"	"1493"	"3302584320"	"17813819392"	"1357881344"	"1221058560"
"08/05/2022 10:01:29.794"	"37.416568535479591162"	"1493"	"3303133184"	"17813819392"	"1358495744"	"1221672960"
