Frame, Time (ms)
    1,     0.000
    2,     9.865
    3,    20.555
    4,    31.504
    5,    42.731
    6,    54.636
    7,    65.633
    8,    76.249
    9,    87.211
   10,    98.286
   11,   109.182
   12,   121.726
   13,   132.044
   14,   143.695
   15,   154.031
   16,   165.227
   17,   176.256
   18,   188.270
   19,   198.760
   20,   209.811
   21,   220.710
   22,   231.728
   23,   242.625
   24,   253.566
   25,   265.983
   26,   277.137
   27,   287.514
   28,   298.622
   29,   309.413
   30,   320.580
   31,   332.334
   32,   343.436
   33,   354.243
   34,   365.406
   35,   376.582
   36,   387.314
   37,   399.002
   38,   409.914
   39,   420.802
   40,   431.859
   41,   442.835
   42,   453.822
   43,   464.833
   44,   476.806
   45,   487.559
   46,   498.757
   47,   509.455
   48,   520.964
   49,   531.560
   50,   543.419
   51,   554.356
   52,   565.886
   53,   576.275
   54,   587.200
   55,   598.255
   56,   610.192
   57,   621.024
   58,   632.065
   59,   643.251
   60,   653.855
   61,   665.131
   62,   675.961
   63,   688.180
   64,   699.275
   65,   709.638
   66,   721.151
   67,   732.105
   68,   743.074
   69,   754.151
   70,   765.481
   71,   775.973
   72,   788.448
   73,   798.889
   74,   809.885
   75,   820.890
   76,   831.687
   77,   842.893
   78,   853.709
   79,   865.812
   80,   876.861
   81,   887.525
   82,   898.427
   83,   909.974
   84,   920.446
   85,   932.282
   86,   943.848
   87,   954.160
   88,   965.193
   89,   976.205
   90,   987.180
   91,   998.636
   92,  1010.012
   93,  1020.459
   94,  1031.405
   95,  1043.504
   96,  1054.424
   97,  1065.432
   98,  1076.387
   99,  1087.384
  100,  1098.315
  101,  1109.372
  102,  1120.806
  103,  1131.826
  104,  1142.772
  105,  1154.620
  106,  1165.586
  107,  1176.639
  108,  1187.579
  109,  1198.487
  110,  1209.630
  111,  1221.506
  112,  1231.829
  113,  1242.901
  114,  1253.878
  115,  1265.868
  116,  1276.870
  117,  1287.775
  118,  1298.597
  119,  1309.552
  120,  1321.071
  121,  1332.031
  122,  1342.859
  123,  1354.047
  124,  1364.787
  125,  1376.949
  126,  1387.807
  127,  1398.743
  128,  1409.925
  129,  1421.773
  130,  1432.222
  131,  1443.225
  132,  1454.029
  133,  1464.953
  134,  1476.173
  135,  1486.889
  136,  1499.146
  137,  1509.812
  138,  1521.300
  139,  1531.679
  140,  1542.641
  141,  1553.675
  142,  1565.662
  143,  1577.791
  144,  1587.521
  145,  1598.441
  146,  1609.443
  147,  1620.633
  148,  1632.786
  149,  1643.239
  150,  1654.192
  151,  1665.176
  152,  1676.105
  153,  1687.098
  154,  1698.017
  155,  1709.899
  156,  1721.609
  157,  1731.827
  158,  1742.882
  159,  1754.532
  160,  1764.738
  161,  1776.722
  162,  1787.961
  163,  1798.566
  164,  1809.568
  165,  1820.865
  166,  1831.437
  167,  1843.670
  168,  1854.912
  169,  1865.260
  170,  1876.851
  171,  1887.339
  172,  1898.482
  173,  1909.424
  174,  1921.433
  175,  1932.133
  176,  1943.269
  177,  1953.964
  178,  1964.962
  179,  1976.375
  180,  1986.953
  181,  1998.829
  182,  2010.194
  183,  2020.793
  184,  2031.705
  185,  2042.714
  186,  2053.632
  187,  2066.252
  188,  2077.231
  189,  2087.404
  190,  2098.466
  191,  2109.694
