"(PDH-TSV 4.0) ("	"\\YJYVR04\Process(HQVRMeeting)\% Processor Time"	"\\YJYVR04\Process(HQVRMeeting)\Handle Count"	"\\YJYVR04\Process(HQVRMeeting)\Private Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Virtual Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Working Set"	"\\YJYVR04\Process(HQVRMeeting)\Working Set - Private"
"08/05/2022 10:15:18.992"	" "	"1494"	"3295145984"	"17801723904"	"1356668928"	"1219837952"
"08/05/2022 10:15:19.988"	"31.623550022283218652"	"1494"	"3296772096"	"17801723904"	"1360928768"	"1221459968"
"08/05/2022 10:15:21.005"	"30.699961077361347606"	"1494"	"3296772096"	"17801723904"	"1361133568"	"1221664768"
"08/05/2022 10:15:22.007"	"38.989231436284931931"	"1494"	"3297320960"	"17801723904"	"1361604608"	"1222135808"
"08/05/2022 10:15:23.006"	"28.155771442609626831"	"1494"	"3297869824"	"17801723904"	"1362202624"	"1222733824"
"08/05/2022 10:15:24.004"	"48.53040174806631768"	"1494"	"3298144256"	"17801723904"	"1362599936"	"1223131136"
"08/05/2022 10:15:25.002"	"37.579243350453097605"	"1494"	"3298697216"	"17801723904"	"1363320832"	"1223852032"
"08/05/2022 10:15:26.000"	"28.175033223999179199"	"1494"	"3299246080"	"17801723904"	"1363853312"	"1224384512"
"08/05/2022 10:15:26.998"	"42.280326456735764395"	"1494"	"3299491840"	"17800675328"	"1364377600"	"1224908800"
"08/05/2022 10:15:28.013"	"58.508062632745563292"	"1494"	"3299831808"	"17800675328"	"1364717568"	"1225248768"
"08/05/2022 10:15:29.014"	"34.345720273466866956"	"1494"	"3300380672"	"17800675328"	"1365258240"	"1225789440"
"08/05/2022 10:15:30.011"	"29.761099198317435111"	"1494"	"3301199872"	"17800675328"	"1366056960"	"1226588160"
"08/05/2022 10:15:31.012"	"39.022307023765520739"	"1494"	"3301748736"	"17800675328"	"1366626304"	"1227153408"
