Frame, Time (ms)
    1,     0.000
    2,     9.518
    3,    21.163
    4,    32.114
    5,    43.270
    6,    53.792
    7,    66.029
    8,    77.322
    9,    88.199
   10,    98.598
   11,   109.655
   12,   121.061
   13,   132.356
   14,   143.165
   15,   154.081
   16,   164.807
   17,   177.481
   18,   187.861
   19,   198.832
   20,   209.824
   21,   221.248
   22,   232.874
   23,   243.136
   24,   254.097
   25,   265.660
   26,   276.597
   27,   288.523
   28,   299.031
   29,   309.971
   30,   320.897
   31,   331.946
   32,   343.565
   33,   354.457
   34,   365.586
   35,   376.400
   36,   387.242
   37,   398.709
   38,   410.843
   39,   421.239
   40,   432.843
   41,   443.108
   42,   454.342
   43,   465.331
   44,   476.053
   45,   488.149
   46,   499.052
   47,   509.813
   48,   520.691
   49,   531.860
   50,   542.650
   51,   554.668
   52,   565.560
   53,   577.289
   54,   587.534
   55,   598.648
   56,   610.097
   57,   621.310
   58,   632.517
   59,   643.542
   60,   654.651
   61,   665.209
   62,   676.439
   63,   688.145
   64,   699.585
   65,   710.487
   66,   721.602
   67,   731.896
   68,   742.872
   69,   754.169
   70,   766.122
   71,   776.877
   72,   787.809
   73,   799.001
   74,   809.760
   75,   820.966
   76,   831.828
   77,   843.661
   78,   854.485
   79,   865.952
   80,   876.482
   81,   887.530
   82,   898.355
   83,   909.220
   84,   921.763
   85,   932.226
   86,   943.123
   87,   954.215
   88,   965.125
   89,   976.299
   90,   987.223
   91,   999.259
   92,  1009.867
   93,  1020.894
   94,  1032.322
   95,  1042.821
   96,  1053.773
   97,  1065.764
   98,  1076.803
   99,  1087.801
  100,  1098.802
  101,  1109.675
  102,  1120.461
  103,  1132.374
  104,  1143.239
  105,  1154.254
  106,  1165.800
  107,  1176.605
  108,  1187.283
  109,  1198.624
  110,  1210.601
  111,  1221.097
  112,  1231.887
  113,  1242.906
  114,  1253.915
  115,  1265.037
  116,  1277.094
  117,  1287.914
  118,  1298.968
  119,  1310.132
  120,  1320.552
  121,  1331.986
  122,  1343.888
  123,  1354.909
  124,  1365.406
  125,  1376.404
  126,  1387.191
  127,  1398.376
  128,  1409.466
  129,  1421.179
  130,  1432.153
  131,  1442.928
  132,  1454.569
  133,  1464.947
  134,  1475.987
  135,  1487.822
  136,  1499.332
  137,  1509.817
  138,  1520.822
  139,  1531.940
  140,  1542.594
  141,  1554.609
  142,  1565.727
  143,  1576.782
  144,  1587.672
  145,  1598.751
  146,  1609.231
  147,  1620.884
  148,  1632.822
  149,  1643.154
  150,  1654.800
  151,  1665.015
  152,  1676.055
  153,  1687.054
  154,  1698.209
  155,  1709.874
  156,  1720.940
  157,  1731.396
  158,  1743.312
  159,  1754.338
  160,  1765.871
  161,  1776.665
  162,  1787.897
  163,  1798.084
  164,  1809.367
  165,  1820.968
  166,  1831.868
  167,  1843.140
  168,  1854.170
  169,  1866.099
  170,  1876.523
  171,  1889.162
  172,  1898.649
  173,  1909.432
  174,  1921.300
  175,  1932.438
  176,  1943.142
  177,  1954.193
  178,  1965.300
  179,  1976.441
  180,  1987.972
  181,  1999.208
  182,  2009.878
  183,  2021.461
  184,  2032.068
  185,  2042.889
  186,  2053.717
  187,  2065.903
  188,  2076.844
  189,  2087.997
  190,  2098.937
  191,  2109.837
  192,  2120.850
  193,  2132.090
  194,  2143.602
  195,  2154.028
  196,  2165.171
  197,  2177.041
  198,  2188.317
  199,  2199.138
  200,  2209.826
  201,  2221.119
  202,  2232.304
  203,  2243.191
  204,  2254.354
  205,  2265.318
  206,  2276.439
  207,  2288.381
  208,  2299.192
  209,  2310.427
  210,  2321.053
  211,  2333.024
  212,  2343.371
  213,  2354.335
  214,  2365.695
  215,  2376.533
  216,  2387.674
  217,  2399.605
  218,  2410.180
  219,  2421.739
  220,  2432.036
  221,  2442.998
  222,  2454.532
  223,  2465.077
  224,  2476.991
  225,  2488.012
  226,  2499.449
  227,  2509.985
  228,  2520.915
  229,  2531.983
  230,  2543.685
  231,  2554.573
  232,  2566.175
  233,  2576.479
  234,  2587.438
  235,  2598.297
  236,  2609.279
  237,  2621.992
  238,  2632.438
  239,  2643.284
  240,  2654.179
  241,  2665.264
  242,  2676.361
  243,  2688.300
  244,  2699.333
  245,  2710.319
  246,  2721.108
  247,  2732.240
  248,  2742.808
  249,  2754.335
  250,  2766.412
  251,  2776.707
  252,  2787.747
  253,  2798.751
  254,  2809.615
  255,  2820.809
  256,  2832.666
  257,  2843.311
  258,  2854.675
  259,  2865.650
  260,  2876.221
  261,  2887.263
  262,  2898.475
  263,  2910.833
  264,  2921.731
  265,  2932.708
  266,  2943.286
  267,  2954.712
  268,  2965.317
  269,  2977.019
  270,  2987.871
  271,  2999.066
  272,  3010.280
  273,  3020.796
  274,  3031.833
  275,  3043.965
  276,  3054.700
  277,  3065.975
  278,  3077.214
  279,  3087.454
  280,  3098.400
  281,  3109.565
  282,  3121.351
  283,  3132.488
  284,  3143.317
  285,  3154.457
  286,  3165.139
  287,  3176.561
  288,  3187.229
  289,  3199.678
  290,  3210.707
  291,  3221.534
  292,  3231.986
  293,  3242.944
  294,  3253.922
  295,  3265.844
  296,  3276.735
  297,  3287.595
  298,  3298.862
  299,  3309.713
  300,  3320.477
  301,  3332.789
  302,  3343.369
  303,  3354.336
  304,  3365.344
  305,  3376.254
  306,  3387.234
  307,  3399.735
  308,  3410.852
  309,  3421.097
  310,  3432.071
  311,  3442.911
  312,  3453.929
  313,  3464.811
  314,  3477.123
  315,  3488.193
  316,  3498.802
  317,  3509.713
  318,  3520.638
  319,  3531.706
  320,  3543.496
  321,  3554.501
  322,  3565.520
  323,  3576.441
  324,  3587.441
  325,  3598.564
  326,  3610.532
  327,  3621.446
  328,  3632.105
  329,  3643.510
  330,  3654.095
  331,  3665.094
  332,  3676.439
  333,  3688.216
  334,  3699.820
  335,  3709.903
  336,  3720.901
  337,  3731.811
  338,  3743.919
  339,  3754.298
  340,  3765.238
  341,  3776.302
  342,  3787.205
  343,  3799.194
  344,  3810.198
  345,  3821.017
  346,  3832.125
  347,  3843.892
  348,  3854.423
