"(PDH-TSV 4.0) ("	"\\YJYVR04\Process(HQVRMeeting)\% Processor Time"	"\\YJYVR04\Process(HQVRMeeting)\Handle Count"	"\\YJYVR04\Process(HQVRMeeting)\Private Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Virtual Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Working Set"	"\\YJYVR04\Process(HQVRMeeting)\Working Set - Private"
"08/05/2022 11:33:02.298"	" "	"1161"	"2278776832"	"15988875264"	"216178688"	"168935424"
"08/05/2022 11:33:03.301"	"17.292153844280971242"	"1163"	"2414243840"	"16123879424"	"219123712"	"170823680"
"08/05/2022 11:33:04.300"	"12.51588892098519068"	"1163"	"2415046656"	"16123879424"	"220299264"	"171995136"
"08/05/2022 11:33:05.299"	"28.156898950821386052"	"1163"	"2414837760"	"16123879424"	"225497088"	"173187072"
"08/05/2022 11:33:06.296"	"21.923534320278232457"	"1163"	"2415882240"	"16123879424"	"226906112"	"174555136"
"08/05/2022 11:33:07.297"	"34.36151654090934926"	"1168"	"2484768768"	"16195260416"	"232001536"	"176971776"
"08/05/2022 11:33:08.296"	"20.339950797596436871"	"1168"	"2485305344"	"16195260416"	"233000960"	"177971200"
"08/05/2022 11:33:09.310"	"24.636175424941999523"	"1167"	"2433986560"	"16150106112"	"255283200"	"200081408"
"08/05/2022 11:33:10.295"	"36.512840124408327824"	"1172"	"2523906048"	"16219385856"	"264650752"	"208785408"
"08/05/2022 11:33:11.313"	"12.278406683225162155"	"1172"	"2523910144"	"16219385856"	"265236480"	"209371136"
"08/05/2022 11:33:12.294"	"25.461803272126893205"	"1172"	"2524475392"	"16219385856"	"266084352"	"210214912"
"08/05/2022 11:33:13.311"	"30.738199752658314168"	"1176"	"2457571328"	"16152276992"	"267300864"	"211230720"
"08/05/2022 11:33:14.309"	"21.918683937086612445"	"1176"	"2456932352"	"16152276992"	"268017664"	"211947520"
"08/05/2022 11:33:15.306"	"21.93519016180399106"	"1306"	"2461241344"	"16179453952"	"273469440"	"214999040"
"08/05/2022 11:33:16.306"	"25.008462863833120338"	"1557"	"2636144640"	"16871428096"	"735006720"	"598949888"
"08/05/2022 11:33:17.305"	"21.901845091528688414"	"1557"	"2635919360"	"16888008704"	"2706747392"	"2570690560"
"08/05/2022 11:33:18.302"	"28.198864104635685379"	"1557"	"2659995648"	"16921563136"	"2730672128"	"2594615296"
"08/05/2022 11:33:19.303"	"148.34773478568118321"	"1493"	"3850104832"	"18359975936"	"1873899520"	"1736327168"
"08/05/2022 11:33:20.300"	"46.987309066129860469"	"1502"	"3327676416"	"17835032576"	"1386491904"	"1248776192"
