Frame, Time (ms)
    1,     0.000
    2,     9.171
    3,    20.277
    4,    31.392
    5,    43.093
    6,    54.505
    7,    65.457
    8,    76.390
    9,    86.899
   10,    98.388
   11,   110.329
   12,   120.876
   13,   131.716
   14,   142.668
   15,   153.959
   16,   164.817
   17,   176.687
   18,   187.418
   19,   198.388
   20,   209.514
   21,   220.772
   22,   231.811
   23,   242.682
   24,   254.894
   25,   265.075
   26,   276.165
   27,   287.139
   28,   298.211
   29,   308.837
   30,   321.104
   31,   332.192
   32,   342.725
   33,   354.311
   34,   365.082
   35,   376.124
   36,   386.615
   37,   398.521
   38,   409.502
   39,   420.564
   40,   431.435
   41,   442.535
   42,   453.567
   43,   465.483
   44,   476.691
   45,   487.108
   46,   498.631
   47,   509.301
   48,   520.658
   49,   532.518
   50,   542.956
   51,   553.982
   52,   564.834
   53,   576.423
   54,   586.739
   55,   598.414
   56,   609.758
   57,   620.802
   58,   631.758
   59,   644.817
   60,   690.352
   61,   722.214
   62,   755.682
   63,   788.935
   64,   798.356
   65,   809.884
   66,   820.774
   67,   831.700
   68,   843.186
   69,   853.703
   70,   864.609
   71,   876.174
   72,   887.611
   73,   898.806
   74,   909.399
   75,   920.666
   76,   931.383
   77,   942.566
   78,   954.598
   79,   965.093
   80,   976.312
   81,   987.097
   82,   998.332
   83,  1008.876
   84,  1020.088
   85,  1031.968
   86,  1043.435
   87,  1053.807
   88,  1065.337
   89,  1075.764
   90,  1086.660
   91,  1098.914
   92,  1109.533
   93,  1120.667
   94,  1131.988
   95,  1142.741
   96,  1153.434
   97,  1165.312
   98,  1176.796
   99,  1187.185
  100,  1198.155
  101,  1209.019
  102,  1220.103
  103,  1232.221
  104,  1243.318
  105,  1254.187
  106,  1264.946
  107,  1276.444
  108,  1287.320
  109,  1298.413
  110,  1309.110
  111,  1320.533
  112,  1331.149
  113,  1343.165
  114,  1354.465
  115,  1365.536
  116,  1375.953
  117,  1386.858
  118,  1398.372
  119,  1409.672
  120,  1420.647
  121,  1431.873
  122,  1442.630
  123,  1453.824
  124,  1465.617
  125,  1476.099
  126,  1487.057
  127,  1498.073
  128,  1508.809
  129,  1520.976
  130,  1532.096
  131,  1543.059
  132,  1553.782
  133,  1565.721
  134,  1576.765
  135,  1587.039
  136,  1598.257
  137,  1608.949
  138,  1620.101
  139,  1631.848
  140,  1643.284
  141,  1653.968
  142,  1664.427
  143,  1728.383
  144,  2000.111
  145,  2009.117
  146,  2021.017
  147,  2031.966
  148,  2042.743
  149,  2065.311
  150,  2089.797
  151,  2132.532
  152,  2143.359
  153,  2153.759
  154,  2165.475
  155,  2176.563
  156,  2187.037
  157,  2198.073
  158,  2209.070
  159,  2220.400
  160,  2231.996
  161,  2243.462
  162,  2254.359
  163,  2265.509
  164,  2276.702
  165,  2287.162
  166,  2298.659
  167,  2309.118
  168,  2320.436
  169,  2331.988
  170,  2342.955
  171,  2353.932
  172,  2365.038
  173,  2375.788
  174,  2386.974
  175,  2397.903
  176,  2409.695
  177,  2420.817
  178,  2431.554
  179,  2442.981
  180,  2453.856
  181,  2464.478
  182,  2476.934
  183,  2487.315
  184,  2498.324
  185,  2509.416
  186,  2520.333
  187,  2531.152
  188,  2542.077
  189,  2554.442
  190,  2565.252
  191,  2576.255
  192,  2586.911
  193,  2598.424
  194,  2608.906
  195,  2621.383
  196,  2631.679
  197,  2643.190
  198,  2653.645
  199,  2665.179
  200,  2675.718
  201,  2687.672
  202,  2698.486
  203,  2709.422
  204,  2720.769
  205,  2731.287
  206,  2742.824
  207,  2754.925
  208,  2765.602
  209,  2776.687
  210,  2787.126
  211,  2798.105
  212,  2809.077
  213,  2820.125
  214,  2831.848
  215,  2843.074
  216,  2854.092
  217,  2865.082
  218,  2875.852
