"(PDH-TSV 4.0) ("	"\\YJYVR04\Process(HQVRMeeting)\% Processor Time"	"\\YJYVR04\Process(HQVRMeeting)\Handle Count"	"\\YJYVR04\Process(HQVRMeeting)\Private Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Virtual Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Working Set"	"\\YJYVR04\Process(HQVRMeeting)\Working Set - Private"
"08/05/2022 11:18:25.597"	" "	"1172"	"4097138688"	"17795112960"	"253648896"	"201822208"
"08/05/2022 11:18:26.597"	"26.790373559421730931"	"1172"	"2518892544"	"16219955200"	"254517248"	"202682368"
"08/05/2022 11:18:27.597"	"10.94018143847056912"	"1172"	"2518892544"	"16219955200"	"254889984"	"203055104"
"08/05/2022 11:18:28.595"	"18.776040490556354712"	"1172"	"2518892544"	"16219955200"	"259260416"	"203411456"
"08/05/2022 11:18:29.593"	"12.533395231594585795"	"1172"	"2450391040"	"16152780800"	"259641344"	"203784192"
"08/05/2022 11:18:30.605"	"15.434499687605725882"	"1172"	"2450391040"	"16152780800"	"260022272"	"204165120"
"08/05/2022 11:18:31.604"	"26.590233613659048473"	"1172"	"2450391040"	"16152780800"	"260399104"	"204541952"
"08/05/2022 11:18:32.603"	"32.853550511363948772"	"1172"	"2445197312"	"16152780800"	"255578112"	"199720960"
"08/05/2022 11:18:33.605"	"21.838026038114868754"	"1172"	"2445197312"	"16152780800"	"255946752"	"200089600"
"08/05/2022 11:18:34.606"	"26.520780160729156449"	"1172"	"2445197312"	"16152780800"	"256327680"	"200466432"
"08/05/2022 11:18:35.605"	"17.208067081776139418"	"1172"	"2445197312"	"16152780800"	"256704512"	"200843264"
"08/05/2022 11:18:36.605"	"28.115418265455133451"	"1176"	"2445197312"	"16152780800"	"257077248"	"201216000"
"08/05/2022 11:18:37.607"	"20.27700105425431687"	"1176"	"2445197312"	"16152780800"	"257454080"	"201592832"
"08/05/2022 11:18:38.607"	"10.937890482690232119"	"1176"	"2445197312"	"16152780800"	"257826816"	"201965568"
"08/05/2022 11:18:39.605"	"23.489870666651299302"	"1176"	"2445197312"	"16152780800"	"258191360"	"202330112"
"08/05/2022 11:18:40.605"	"28.130828707708239733"	"1176"	"2445197312"	"16152780800"	"258433024"	"202571776"
"08/05/2022 11:18:41.605"	"24.979893683574090346"	"1176"	"2445197312"	"16152780800"	"258519040"	"202657792"
"08/05/2022 11:18:42.605"	"18.759518579727355814"	"1176"	"2445197312"	"16152780800"	"258519040"	"202657792"
"08/05/2022 11:18:43.606"	"20.294452143708600289"	"1176"	"2445197312"	"16152780800"	"258519040"	"202657792"
