Frame, Time (ms)
    1,     0.000
    2,     9.623
    3,    20.376
    4,    31.515
    5,    43.474
    6,    54.913
    7,    65.352
    8,    76.842
    9,    87.301
   10,    98.193
   11,   110.325
   12,   121.274
   13,   132.319
   14,   142.916
   15,   153.860
   16,   165.088
   17,   175.926
   18,   188.203
   19,   199.283
   20,   209.602
   21,   220.827
   22,   232.315
   23,   242.507
   24,   254.380
   25,   265.437
   26,   276.426
   27,   287.677
   28,   298.658
   29,   309.467
   30,   321.328
   31,   332.403
   32,   343.052
   33,   354.500
   34,   365.435
   35,   376.739
   36,   387.729
   37,   398.167
   38,   409.214
   39,   421.148
   40,   432.615
   41,   443.100
   42,   454.078
   43,   465.708
   44,   475.952
   45,   487.863
   46,   498.867
   47,   509.875
   48,   520.837
   49,   531.751
   50,   542.757
   51,   555.087
   52,   587.527
   53,   621.521
   54,   632.453
   55,   643.169
   56,   654.527
   57,   664.985
   58,   676.166
   59,   687.415
   60,   699.032
   61,   710.511
   62,   720.728
   63,   732.457
   64,   742.714
   65,   754.299
   66,   765.939
   67,   776.066
   68,   787.651
   69,   798.153
   70,   810.079
   71,   821.069
   72,   831.832
   73,   842.953
   74,   854.508
   75,   864.942
   76,   876.766
   77,   887.574
   78,   898.313
   79,   909.225
   80,   921.093
   81,   932.805
   82,   942.981
   83,   954.302
   84,   965.230
   85,   976.290
   86,   987.980
   87,   998.808
   88,  1010.140
   89,  1020.572
   90,  1031.704
   91,  1042.655
   92,  1054.393
   93,  1066.093
   94,  1076.623
   95,  1087.459
   96,  1098.608
   97,  1109.260
   98,  1121.382
   99,  1132.466
  100,  1143.236
  101,  1154.357
  102,  1165.525
  103,  1176.574
  104,  1187.499
  105,  1199.407
  106,  1210.527
  107,  1220.778
  108,  1232.406
  109,  1242.761
  110,  1253.906
  111,  1264.877
  112,  1276.892
  113,  1287.671
  114,  1298.694
  115,  1309.672
  116,  1320.408
  117,  1331.620
  118,  1343.339
  119,  1354.706
  120,  1365.669
  121,  1376.401
  122,  1387.039
  123,  1398.202
  124,  1410.019
  125,  1421.088
  126,  1432.303
  127,  1442.930
  128,  1454.172
  129,  1465.135
  130,  1477.356
  131,  1488.328
  132,  1498.715
  133,  1510.167
  134,  1520.556
  135,  1531.562
