Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
978,2980,974,68,35,9999,0,123,0,3999,491,4,4,1478,490,1804,0,0,74,72,33,0,0,0,0,3,1440,1584,6192,1542,116,39,28,35,25,19,10,19,39,10,64,0,0,11806,1092,0,887,67,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,100
1980,2980,974,68,35,9999,0,48,0,4005,192,4,3,1478,490,1804,0,0,72,72,36,0,0,0,0,3,1440,1584,6762,1231,123,27,44,29,12,31,14,27,25,0,60,0,0,11806,1092,0,887,67,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100
2987,2980,974,68,35,9999,0,116,0,4005,464,4,3,2419,525,2000,0,0,72,72,35,0,0,0,0,3,1440,1584,7837,1222,128,33,47,35,16,16,15,33,21,5,67,0,0,11806,1092,0,887,67,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,100
3979,2980,974,68,35,9999,0,286,0,4005,1145,5,4,2419,525,2000,0,0,72,72,36,0,0,34,0,3,1440,1584,8580,2523,113,80,75,88,90,86,28,80,26,19,26,0,0,11806,1092,0,887,67,955,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,100
4380,2980,974,68,35,9999,0,219,0,4005,877,5,4,2419,525,2000,0,0,38,72,36,0,0,0,0,3,1440,1584,4343,3188,109,33,50,35,26,52,19,19,33,0,81,0,0,11806,1092,0,887,67,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2231,2340,100
48985,3603,311,68,35,325,0,353,0,4026,1421,5,3,1766,490,1353,0,0,1,72,0,0,0,11,0,0,0,0,1028,1234,0,18,38,44,31,77,14,16,18,13,18,0,0,10103,409,0,243,59,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49978,3603,311,68,35,276,0,360,0,4026,1449,5,3,1766,490,1353,0,0,72,72,27,0,1,36,0,0,1440,1584,984,683,0,10,33,47,37,69,10,9,9,9,13,0,0,10103,409,0,243,59,302,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
50978,3603,311,68,35,276,0,352,0,4026,1417,4,3,1478,490,1353,0,0,72,72,27,0,0,0,0,0,1440,1584,989,682,0,13,35,83,37,40,10,9,13,9,13,0,0,10103,409,0,243,59,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
51978,3603,311,68,35,276,0,310,0,4034,1250,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,979,684,0,17,56,50,26,61,17,9,14,9,13,0,0,10103,409,0,243,59,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
52978,3603,311,68,35,352,0,118,0,4034,476,5,3,1766,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,941,688,0,44,47,52,65,100,44,33,36,26,21,0,0,10103,409,0,243,59,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
