Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
994,3653,307,99,31,9999,0,884,0,4249,3756,5,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1440,1584,979,681,0,28,85,61,78,89,28,28,19,17,13,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1994,3653,307,99,31,9999,0,968,0,4249,4113,4,3,2419,490,2000,0,0,72,72,26,0,0,0,0,0,1440,1584,972,2329,0,19,50,45,52,33,10,5,19,0,31,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2994,3653,307,99,31,9999,0,871,0,4249,3700,4,3,2419,490,2000,0,0,72,72,26,0,0,0,0,0,1440,1584,972,2329,0,19,50,45,52,33,10,5,19,0,31,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,420,420,100
3995,3653,307,99,31,9999,0,1228,0,4249,5217,5,3,2419,490,2000,0,0,45,72,39,0,19,31,0,0,1440,1584,5212,2318,0,36,35,25,50,44,36,28,34,10,62,0,0,10103,408,0,243,55,298,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,370,370,100
4995,3653,307,98,31,9999,0,1092,0,4232,4621,5,3,2419,490,2000,0,0,72,72,35,0,7,0,0,0,1440,1584,4585,2333,0,19,27,31,27,40,19,14,11,5,63,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,768,768,100
5995,3653,307,98,31,9999,0,1043,0,4232,4413,4,3,1478,490,1804,0,0,72,72,36,0,0,0,0,0,1440,1584,3797,2345,0,28,36,33,38,28,27,27,28,5,65,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1909,1909,100
6995,3653,307,98,31,9999,0,1041,0,4232,4405,4,3,1478,490,1804,0,0,72,72,36,0,0,0,0,0,1440,1584,3414,2347,0,45,52,44,47,50,5,28,45,0,67,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3231,3231,100
7995,3653,307,98,31,9999,0,979,0,4232,4143,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3414,2347,0,45,52,44,47,50,5,28,45,0,67,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8995,3653,307,98,31,9999,0,967,0,4232,4092,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3414,2347,0,45,52,44,47,50,5,28,45,0,67,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9995,3653,307,98,31,9999,0,977,0,4232,4134,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3414,2347,0,45,52,44,47,50,5,28,45,0,67,0,0,10103,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
