Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
994,3649,307,100,29,6,0,66,0,4362,287,5,3,1766,490,1353,0,0,71,72,28,0,3,43,0,0,1440,1584,992,681,0,9,36,28,17,34,0,5,9,0,13,0,0,10120,408,0,243,55,298,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1994,3649,307,100,29,6,0,20,0,4362,87,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1440,1584,981,676,0,26,68,100,75,83,14,26,22,5,13,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2994,3649,307,100,29,6,0,10,0,4362,43,4,3,2419,490,2000,0,0,72,72,25,0,0,0,0,0,1440,1584,974,1497,0,25,59,47,50,47,19,25,22,14,28,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3994,3649,307,100,29,6,0,204,0,4362,889,5,3,2419,490,2000,0,0,72,72,25,0,0,0,0,0,1440,1584,908,2317,0,42,31,45,57,61,36,42,25,25,30,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,347,347,100
4994,3649,307,100,29,9999,0,19,0,4343,82,5,3,2419,490,2000,0,0,46,72,39,0,18,29,0,0,1440,1584,5507,2330,0,26,30,42,31,43,15,26,19,10,61,0,0,10120,408,0,243,55,298,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,753,753,100
5994,3649,307,100,29,9999,0,12,0,4357,52,5,3,2419,490,2000,0,0,72,72,35,0,8,0,0,0,1440,1584,4615,2331,0,15,14,39,50,38,15,14,14,10,63,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,546,546,100
6994,3649,307,100,29,9999,0,17,0,4357,74,4,3,1478,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,3505,2338,0,30,53,73,73,69,30,28,21,13,65,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1878,1878,100
7996,3649,307,100,29,9999,0,5,0,4357,21,4,3,1478,490,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,3527,2341,0,40,57,36,42,58,40,31,15,17,68,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8995,3649,307,100,29,9999,0,5,0,4357,21,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3527,2341,0,40,57,36,42,58,40,31,15,17,68,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2978,2978,100
9995,3649,307,100,29,9999,0,7,0,4357,30,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3527,2341,0,40,57,36,42,58,40,31,15,17,68,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10995,3649,307,100,29,9999,0,8,0,4357,34,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3527,2341,0,40,57,36,42,58,40,31,15,17,68,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11995,3649,307,100,29,9999,0,4,0,4357,17,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3527,2341,0,40,57,36,42,58,40,31,15,17,68,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12995,3649,307,100,29,9999,0,15,0,4357,65,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3527,2341,0,40,57,36,42,58,40,31,15,17,68,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13995,3649,307,100,29,9999,0,61,0,4362,266,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3527,2341,0,40,57,36,42,58,40,31,15,17,68,0,0,10120,408,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
