Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
992,3551,311,37,38,9999,0,90,0,3767,339,5,3,1766,490,1353,0,0,72,72,27,0,0,0,0,0,1440,1584,981,681,0,5,18,35,17,17,5,5,5,5,13,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1992,3551,311,37,38,9999,0,90,0,3767,339,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,996,682,0,14,26,44,11,6,9,14,5,9,13,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2992,3551,311,37,38,9999,0,89,0,3788,337,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,996,682,0,14,26,44,11,6,9,14,5,9,13,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3992,3551,311,37,38,90,0,178,0,3788,674,5,3,1766,490,1555,0,0,50,72,37,0,22,26,0,0,1440,1584,5350,684,0,33,58,61,62,80,28,33,30,0,44,0,0,10103,404,0,243,60,303,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4992,3551,311,37,38,90,0,131,0,3788,496,5,3,1766,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,6143,687,0,21,38,33,36,27,19,21,19,9,52,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5992,3551,311,37,38,90,0,174,0,3788,659,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,6275,689,0,23,36,50,33,36,23,23,21,5,51,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6992,3551,311,37,38,90,0,154,0,3788,583,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6228,689,0,34,36,33,31,36,29,19,34,9,50,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7993,3551,311,37,38,90,0,16,0,3772,60,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1440,1584,6228,689,0,34,36,33,31,36,29,19,34,9,50,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8992,3551,311,37,38,90,0,60,0,3772,226,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1440,1584,6228,689,0,34,36,33,31,36,29,19,34,9,50,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9992,3551,311,37,38,90,0,64,0,3772,241,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6228,689,0,34,36,33,31,36,29,19,34,9,50,0,0,10103,404,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
