Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
987,3214,316,91,35,9999,0,806,0,4140,3336,5,3,1766,490,1353,0,0,72,72,27,0,0,0,0,0,1440,1584,973,680,0,13,31,16,23,25,13,4,0,9,13,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1987,3214,316,91,35,9999,0,789,0,4140,3266,4,3,1478,490,1353,0,0,72,72,27,0,0,0,0,0,1440,1584,988,683,0,17,35,15,23,25,10,0,17,0,13,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2987,3214,316,91,35,9999,0,790,0,4140,3270,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,980,682,0,18,36,30,11,5,18,13,13,0,13,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3987,3214,316,91,35,9999,0,1085,0,4140,4491,5,3,1766,490,2000,0,0,72,72,25,0,0,14,0,0,1440,1584,931,684,0,60,52,55,43,38,60,40,36,42,18,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4987,3214,316,91,35,9999,0,1039,0,4140,4301,5,3,1766,490,1353,0,0,48,72,38,0,27,14,0,0,1440,1584,5955,686,0,25,39,17,12,26,23,11,25,9,49,0,0,10103,383,0,243,60,303,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5987,3214,316,91,35,9999,0,1042,0,4154,4328,5,3,1478,490,1555,0,0,72,72,35,0,0,0,0,0,1440,1584,5993,686,0,30,18,17,30,26,30,19,19,9,49,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6987,3214,316,91,35,9999,0,1016,0,4154,4220,4,3,1478,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,6068,689,0,31,22,36,33,37,16,27,31,13,49,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7987,3214,316,91,35,9999,0,970,0,4154,4029,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1440,1584,6002,687,0,29,35,31,11,6,0,29,19,9,49,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8987,3214,316,91,35,9999,0,827,0,4154,3435,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1440,1584,6002,687,0,29,35,31,11,6,0,29,19,9,49,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9987,3214,316,91,35,9999,0,1030,0,4154,4278,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6002,687,0,29,35,31,11,6,0,29,19,9,49,0,0,10103,383,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
