Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
995,3574,306,99,32,9999,0,269,0,4307,1158,4,3,2419,490,2000,0,0,70,72,27,0,0,0,0,0,1440,1584,1023,885,0,14,44,61,16,59,0,14,5,9,13,0,0,10103,407,0,242,54,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1995,3574,306,99,32,9999,0,393,0,4307,1692,4,3,2419,490,2000,0,0,72,72,27,0,0,1,0,0,1440,1584,974,681,0,18,100,82,78,100,10,10,18,9,13,0,0,10103,407,0,242,54,297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2995,3574,306,99,32,9999,0,498,0,4307,2144,4,3,2419,490,2000,0,0,72,72,25,0,0,0,0,0,1440,1584,968,2323,0,23,42,59,86,57,23,18,10,14,31,0,0,10103,407,0,242,54,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,571,571,100
4006,3574,306,99,32,9999,0,344,0,4307,1481,4,3,2419,490,2000,0,0,73,72,25,0,0,23,0,0,1440,1584,928,2325,0,44,61,52,36,66,14,44,4,5,21,0,0,10103,407,0,242,54,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4993,3574,306,99,32,9999,0,687,0,4307,2958,5,3,2419,490,2000,0,0,48,72,38,0,0,23,0,0,1440,1584,3167,2329,0,19,63,68,47,68,10,10,19,9,63,0,0,10103,407,0,242,54,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,371,371,100
5995,3574,306,99,32,9999,0,606,0,4282,2594,5,3,1478,490,2000,0,0,72,72,34,0,27,5,0,0,1440,1584,4808,2333,0,19,59,61,38,68,19,14,15,13,64,0,0,10103,407,0,242,54,297,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3141,3141,100
6995,3574,306,99,32,9999,0,557,0,4284,2386,4,3,1478,490,2000,0,0,72,72,34,0,0,0,0,0,1440,1584,3547,2336,0,25,77,44,53,69,21,25,17,13,65,0,0,10103,407,0,242,54,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1752,1752,100
7994,3574,306,99,32,9999,0,504,0,4284,2159,4,3,1478,490,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,3236,2341,0,33,69,66,68,52,27,33,27,9,67,0,0,10103,407,0,242,54,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3270,3270,100
8994,3574,306,99,32,9999,0,360,0,4303,1549,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3236,2341,0,33,69,66,68,52,27,33,27,9,67,0,0,10103,407,0,242,54,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9994,3574,306,99,32,9999,0,322,0,4303,1385,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3236,2341,0,33,69,66,68,52,27,33,27,9,67,0,0,10103,407,0,242,54,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
