Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
996,3643,308,44,34,37,0,251,0,3869,971,5,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1440,1584,984,684,0,10,22,31,11,37,9,5,10,9,13,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1995,3643,308,44,34,251,0,24,0,3869,92,4,3,2419,490,2000,0,0,72,72,26,0,0,0,0,0,1440,1584,979,676,0,30,84,64,80,72,23,30,23,17,13,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2995,3643,308,44,34,251,0,208,0,3869,804,4,3,2419,490,2000,0,0,72,72,25,0,0,0,0,0,1440,1584,981,2326,0,42,39,21,23,38,0,42,26,9,22,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,31,100
3995,3643,308,44,34,251,0,0,0,3869,0,5,3,2419,490,2000,0,0,47,72,39,0,22,29,0,0,1440,1584,5460,2330,0,21,31,35,31,50,19,19,21,5,63,0,0,10103,409,0,244,55,299,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,407,407,100
4998,3643,308,44,34,251,0,0,0,3869,0,5,3,2419,490,2000,0,0,72,72,35,0,2,0,0,0,1440,1584,4837,2331,0,22,38,36,23,42,22,22,10,17,63,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1672,1672,100
5995,3643,308,44,34,251,0,28,0,3869,108,4,3,1478,490,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,3493,2338,0,19,47,29,19,38,19,19,19,9,63,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1672,1672,100
6996,3643,308,44,34,251,0,98,0,3853,377,4,3,1478,490,1804,0,0,72,72,35,0,0,0,0,0,1440,1584,3290,2351,0,28,25,44,27,36,18,28,5,0,66,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3208,3208,100
7995,3643,308,44,34,251,0,75,0,3853,288,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3290,2351,0,28,25,44,27,36,18,28,5,0,66,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3208,3208,100
8995,3643,308,44,34,251,0,80,0,3853,308,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3290,2351,0,28,25,44,27,36,18,28,5,0,66,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9995,3643,308,44,34,251,0,97,0,3853,373,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3290,2351,0,28,25,44,27,36,18,28,5,0,66,0,0,10103,409,0,244,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
