Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
994,3670,306,42,33,289,0,341,0,3840,1309,4,3,1478,490,1353,0,0,1,72,0,0,6,26,0,0,0,0,1032,1230,0,19,38,33,31,16,4,14,19,9,18,0,0,10103,408,0,242,55,297,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,3670,306,42,33,289,0,52,0,3840,199,4,3,2419,490,2000,0,0,71,72,29,0,0,0,0,0,1440,1584,968,678,0,30,87,85,78,86,18,30,14,17,13,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2997,3670,306,42,33,289,0,165,0,3840,633,4,3,2419,490,2000,0,0,72,72,27,0,0,1,0,0,1440,1584,972,676,0,19,80,75,69,80,19,10,19,5,13,0,0,10103,408,0,242,55,297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3995,3670,306,42,33,289,0,18,0,3852,69,4,3,2419,490,2000,0,0,71,72,25,0,0,4,0,0,1440,1584,997,2330,0,26,63,42,38,57,19,22,26,9,30,0,0,10103,408,0,242,55,297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100
4996,3670,306,42,33,165,0,124,0,3838,475,5,3,2419,490,2000,0,0,68,72,25,0,44,29,0,0,1440,1584,4350,2332,0,28,84,64,69,84,26,28,26,21,58,0,0,10103,408,0,242,55,297,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,382,382,100
5994,3670,306,42,33,9999,0,3,0,3838,11,5,3,2419,490,2000,0,0,47,72,49,0,87,0,0,0,1440,1584,5333,2329,0,27,57,63,50,68,14,27,14,5,63,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,382,382,100
6994,3670,306,42,33,9999,0,49,0,3838,188,4,3,1478,490,1555,0,0,71,72,44,0,0,0,0,0,1440,1584,4457,2335,0,37,57,50,47,50,15,23,37,21,63,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,535,535,100
7996,3670,306,42,33,9999,0,62,0,3838,237,4,3,1478,490,1555,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2113,2113,100
8994,3670,306,42,33,9999,0,71,0,3838,272,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3064,3064,100
9994,3670,306,42,33,9999,0,109,0,3838,418,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10995,3670,306,42,33,9999,0,107,0,3838,410,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11995,3670,306,42,33,9999,0,102,0,3838,391,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12995,3670,306,42,33,9999,0,87,0,3845,334,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13995,3670,306,42,33,9999,0,96,0,3844,369,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14995,3670,306,42,33,9999,0,97,0,3844,372,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15995,3670,306,42,33,9999,0,84,0,3844,322,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3971,2342,0,31,82,44,42,47,27,31,21,5,64,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16995,3670,306,42,33,84,0,209,0,3844,803,4,3,1766,490,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,3673,2340,0,77,36,52,35,25,4,14,77,9,5,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17996,3670,306,42,33,84,0,84,0,3844,322,5,3,1766,490,2000,0,0,61,72,35,0,0,72,0,0,1440,1584,3107,683,0,55,31,35,35,17,55,14,39,0,5,0,0,10103,408,0,242,55,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18998,3670,306,42,33,84,0,173,0,3844,665,5,3,1766,490,2000,0,0,8,72,60,0,31,35,0,0,1440,1584,4878,683,0,44,17,31,38,33,44,30,44,13,41,0,0,10103,408,0,242,55,297,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20008,3261,653,42,33,84,0,105,0,3844,403,5,3,1766,490,2000,0,0,71,72,37,0,0,0,0,0,1440,1584,4921,683,0,18,38,31,36,11,5,18,14,9,41,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20996,3261,653,42,33,84,0,126,0,3828,482,5,3,1766,490,1555,0,0,49,72,36,0,8,58,0,1,1440,1584,8277,1100,0,52,31,18,36,17,52,19,19,17,36,0,0,11450,774,0,572,64,636,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21996,3261,653,42,33,9999,0,147,0,3828,562,5,3,1766,490,2000,0,0,67,72,47,0,40,5,0,1,1440,1584,7883,1087,0,25,16,26,26,21,21,13,25,13,69,0,0,11450,774,0,572,64,636,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
22996,3261,653,42,33,9999,0,163,0,3828,623,5,3,1766,490,1555,0,0,64,72,54,0,66,9,0,1,1440,1584,7973,1094,0,33,29,25,21,16,33,9,28,9,60,0,0,11450,774,0,572,64,636,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
23996,3261,653,42,33,9999,0,186,0,3824,711,5,3,1766,490,1804,0,0,72,72,53,0,72,0,0,1,1440,1584,7829,1093,0,34,17,17,23,15,23,10,34,14,62,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
24996,3261,653,42,33,9999,0,143,0,3824,546,4,3,1478,490,1804,0,0,71,72,39,0,0,0,0,1,1440,1584,8231,1120,0,31,22,17,26,6,31,5,26,13,68,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
25996,3261,653,42,33,9999,0,180,0,3824,688,4,3,1478,490,1804,0,0,72,72,38,0,0,0,0,1,1440,1584,8331,1111,0,40,23,33,23,11,21,14,40,9,67,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
26996,3261,653,42,33,9999,0,90,0,3824,344,4,3,1478,490,2000,0,0,71,72,38,0,8,2,0,1,1440,1584,5024,1088,0,29,23,12,11,11,29,14,21,13,47,0,0,11450,774,0,572,64,636,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
27996,3261,653,42,33,9999,0,186,0,3824,711,4,3,1478,490,1353,0,0,71,72,34,0,0,3,0,1,1440,1584,4863,682,0,60,22,11,22,28,36,60,35,13,38,0,0,11450,774,0,572,64,636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
28996,3261,653,42,33,9999,0,266,0,3855,1025,4,3,1766,490,2000,0,0,71,72,33,0,0,0,0,1,1440,1584,5074,686,0,30,23,33,19,6,10,26,30,9,42,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
29996,3261,653,42,33,266,0,242,0,3853,932,5,3,1766,490,1353,0,0,17,72,38,0,6,60,0,3,1440,1584,5296,677,0,100,16,23,15,11,100,4,0,5,5,0,0,11450,774,0,572,64,636,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
30996,3261,653,42,33,242,0,40,0,3853,154,5,3,1766,490,2000,0,0,20,72,49,0,16,52,0,3,1440,1584,9273,913,0,68,18,31,22,36,31,68,31,5,34,0,0,11450,774,0,572,64,636,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
31996,3261,653,42,33,242,0,94,0,3853,362,5,3,1766,490,1353,0,0,67,72,50,0,64,9,0,3,1440,1584,5879,1028,0,22,18,21,31,5,5,22,15,13,49,0,0,11450,774,0,572,64,636,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
32996,3261,653,42,33,242,0,34,0,3853,131,5,3,1478,490,1555,0,0,71,72,46,0,66,0,0,3,1440,1584,6010,970,0,22,29,21,15,16,14,22,14,5,51,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
33996,3261,653,42,33,242,0,46,0,3831,176,4,3,1478,490,1804,0,0,72,72,34,0,0,0,0,3,1440,1584,4455,975,0,21,13,22,17,15,14,21,19,5,40,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
34996,3261,653,42,33,9999,0,46,0,3831,176,4,3,1478,490,1804,0,0,72,72,34,0,0,0,0,3,1440,1584,5365,970,0,30,39,44,44,50,14,30,27,5,46,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
35996,3261,653,42,33,9999,0,64,0,3831,245,4,3,1766,490,1804,0,0,72,72,33,0,0,0,0,3,1440,1584,6269,1004,0,27,35,25,11,25,19,27,23,0,54,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
36996,3261,653,42,33,9999,0,172,0,3831,658,5,3,1766,490,1804,0,0,62,72,42,0,21,11,0,3,1440,1584,7102,1078,0,26,18,27,15,17,26,22,19,5,61,0,0,11450,774,0,572,64,636,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
37996,3261,653,42,33,9999,0,218,0,3820,832,5,3,1478,490,1804,0,0,72,72,41,0,17,5,0,3,1440,1584,8759,1084,0,34,17,6,33,16,28,34,26,5,74,0,0,11450,774,0,572,64,636,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
38997,3261,653,42,33,9999,0,238,0,3820,909,4,3,1478,490,1804,0,0,72,72,38,0,0,0,0,3,1440,1584,8649,1071,0,31,25,43,21,17,25,19,31,0,68,0,0,11450,774,0,572,64,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
