Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
991,3637,312,86,38,9999,0,861,0,4083,3515,5,3,1766,490,1353,0,0,73,72,27,0,3,43,0,0,1440,1584,1051,1141,126,20,50,43,45,40,20,5,14,13,18,0,0,10120,407,0,243,60,303,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,100
1992,3637,312,86,38,9999,0,842,0,4083,3437,4,3,1478,490,1353,0,0,72,72,27,0,0,0,0,0,1440,1584,1011,1145,127,18,52,45,58,50,13,18,5,13,18,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,100
2994,3637,312,86,38,9999,0,846,0,4083,3454,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,1026,1144,125,18,39,47,38,40,9,18,17,0,18,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,100
3992,3637,312,86,38,9999,0,1269,0,4083,5181,4,3,1766,490,2000,0,0,72,72,25,0,0,0,0,0,1440,1584,1007,1142,126,68,52,50,40,50,19,68,9,14,12,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,100
4992,3637,312,86,38,9999,0,1116,0,4083,4556,5,3,1766,490,1555,0,0,49,72,38,0,15,26,0,0,1440,1584,5750,1145,120,39,52,66,55,63,39,39,30,20,56,0,0,10120,407,0,243,60,303,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,100
5992,3637,312,86,38,9999,0,1106,0,4092,4525,5,3,1478,490,1555,0,0,72,72,35,0,10,0,0,0,1440,1584,6101,1147,126,25,50,52,48,51,5,11,25,13,56,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,100
6992,3637,312,86,38,9999,0,1072,0,4092,4386,4,3,1478,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,6081,1152,124,25,55,42,39,45,23,16,25,5,54,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,100
7994,3637,312,86,38,9999,0,1020,0,4092,4173,4,3,1478,490,2000,0,0,72,72,34,0,0,0,0,0,1440,1584,6176,1152,123,19,57,45,35,36,14,15,19,13,56,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100
8992,3637,312,86,38,9999,0,873,0,4092,3572,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6176,1152,123,19,57,45,35,36,14,15,19,13,56,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100
9992,3637,312,86,38,9999,0,874,0,4092,3576,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6176,1152,123,19,57,45,35,36,14,15,19,13,56,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100
10992,3637,312,86,38,9999,0,861,0,4092,3523,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6176,1152,123,19,57,45,35,36,14,15,19,13,56,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100
11992,3637,312,86,38,9999,0,879,0,4092,3596,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6176,1152,123,19,57,45,35,36,14,15,19,13,56,0,0,10120,407,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100
