Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
992,3530,310,34,36,119,0,291,0,3776,1098,5,3,1766,490,1353,0,0,73,72,26,0,3,42,0,0,1440,1584,983,675,0,14,41,46,38,34,13,9,14,13,13,0,0,10103,400,0,243,60,303,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1992,3530,310,34,36,119,0,322,0,3776,1215,4,3,1478,490,1353,0,0,72,72,27,0,0,0,0,0,1440,1584,987,679,0,14,42,39,30,27,14,13,10,9,13,0,0,10103,400,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2993,3530,310,34,36,119,0,321,0,3793,1217,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,973,675,0,14,50,36,34,33,9,5,14,13,13,0,0,10103,400,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3993,3530,310,34,36,321,0,126,0,3793,477,5,3,1766,490,2000,0,0,72,72,25,0,0,0,0,0,1440,1584,923,679,0,57,63,63,60,68,57,31,34,10,20,0,0,10103,400,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4992,3530,310,34,36,321,0,39,0,3793,147,5,3,1766,490,1353,0,0,49,72,38,0,14,26,0,0,1440,1584,6371,683,0,38,60,60,50,47,16,25,38,14,51,0,0,10103,400,0,243,60,303,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5993,3530,310,34,36,321,0,59,0,3793,223,5,3,1478,490,1353,0,0,71,72,35,0,10,3,0,0,1440,1584,6131,688,0,27,57,48,33,35,5,27,27,13,50,0,0,10103,400,0,243,60,303,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6992,3530,310,34,36,321,0,60,0,3793,227,4,3,1478,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,6208,689,0,34,38,60,38,38,15,34,30,9,50,0,0,10103,400,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7993,3530,310,34,36,321,0,140,0,3780,529,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1440,1584,6149,691,0,31,50,45,30,44,27,10,31,5,50,0,0,10103,400,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8993,3530,310,34,36,321,0,305,0,3780,1152,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6149,691,0,31,50,45,30,44,27,10,31,5,50,0,0,10103,400,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9993,3530,310,34,36,321,0,297,0,3780,1122,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,6149,691,0,31,50,45,30,44,27,10,31,5,50,0,0,10103,400,0,243,60,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
