Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
995,3613,307,89,36,9999,0,816,0,4125,3366,5,3,1766,490,1353,0,0,71,72,27,0,0,0,0,0,1440,1584,978,678,0,13,35,21,19,11,5,13,9,5,13,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1994,3613,307,89,36,9999,0,917,0,4125,3782,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1440,1584,978,682,0,36,100,73,76,78,23,25,36,14,13,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2995,3613,307,89,36,9999,0,953,0,4132,3937,4,3,2419,490,2000,0,0,72,72,25,0,0,0,0,0,1440,1584,997,2154,0,19,36,47,44,56,18,19,19,9,30,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3994,3613,307,89,36,9999,0,1052,0,4132,4346,5,3,2419,490,2000,0,0,72,72,25,0,17,28,0,0,1440,1584,4514,2338,0,39,60,63,66,88,38,31,39,19,61,0,0,10103,409,0,243,55,298,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,413,413,100
4995,3613,307,89,36,9999,0,1117,0,4132,4615,5,3,2419,490,2000,0,0,48,72,39,0,9,0,0,0,1440,1584,3721,2329,0,22,33,29,21,47,19,22,19,13,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,360,360,100
5994,3613,307,89,36,9999,0,1171,0,4132,4838,5,3,2419,490,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,3946,2335,0,26,50,31,23,38,19,26,19,5,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2227,2227,100
6995,3613,307,89,36,9999,0,1133,0,4132,4681,4,3,1478,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,3310,2348,0,25,45,33,40,39,25,23,25,18,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2271,2271,100
7994,3613,307,89,36,9999,0,1045,0,4132,4317,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,3310,2348,0,25,45,33,40,39,25,23,25,18,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1128,1128,100
8995,3613,307,89,36,9999,0,1045,0,4132,4317,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1440,1584,3310,2348,0,25,45,33,40,39,25,23,25,18,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9995,3613,307,89,36,9999,0,1039,0,4132,4293,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3310,2348,0,25,45,33,40,39,25,23,25,18,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
