Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
995,3619,307,39,36,280,0,280,0,3824,1070,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1440,1584,960,675,0,30,80,72,95,95,0,30,10,5,14,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1995,3619,307,39,36,280,0,180,0,3824,688,4,3,2419,490,2000,0,0,68,72,26,0,0,4,0,0,1440,1584,977,682,0,27,75,80,90,90,11,27,10,9,13,0,0,10103,409,0,243,55,298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2999,3619,307,39,36,125,0,125,0,3812,476,4,3,2419,490,2000,0,0,71,72,25,0,0,1,0,0,1440,1584,1004,2277,0,50,47,52,60,100,19,23,50,9,23,0,0,10103,409,0,243,55,298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100
3995,3619,307,39,36,125,0,49,0,3812,186,5,3,2419,490,2000,0,0,46,72,39,0,26,28,0,0,1440,1584,5812,2334,0,30,89,77,94,89,30,23,16,27,57,0,0,10103,409,0,243,55,298,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,395,395,100
4995,3619,307,39,36,125,0,68,0,3812,259,5,3,2419,490,2000,0,0,73,72,35,0,1,0,0,0,1440,1584,4975,2335,0,15,50,55,54,81,14,15,5,17,65,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,380,380,100
5997,3619,307,39,36,125,0,71,0,3812,270,4,3,1478,490,2000,0,0,73,72,35,0,0,0,0,0,1440,1584,3334,2328,0,28,50,62,80,76,19,15,28,5,63,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,947,947,100
6997,3619,307,39,36,125,0,20,0,3804,76,4,3,1478,490,1353,0,0,72,72,36,0,0,0,0,0,1440,1584,3199,2334,0,28,68,50,57,57,28,18,11,10,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3050,3050,100
7995,3619,307,39,36,125,0,70,0,3804,266,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3199,2334,0,28,68,50,57,57,28,18,11,10,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3219,3219,100
8995,3619,307,39,36,125,0,72,0,3798,273,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3199,2334,0,28,68,50,57,57,28,18,11,10,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9996,3619,307,39,36,125,0,23,0,3798,87,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3199,2334,0,28,68,50,57,57,28,18,11,10,64,0,0,10103,409,0,243,55,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
