Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
1008,3618,307,73,39,9999,0,1061,0,3943,4183,4,3,2419,490,2000,0,0,73,72,52,0,111,1,0,0,1440,1584,962,673,0,25,86,94,100,91,18,19,25,10,13,0,0,10103,409,0,243,55,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1994,3618,307,73,39,9999,0,1041,0,3943,4104,4,3,2419,490,2000,0,0,72,72,53,0,143,1,0,0,1440,1584,959,676,0,10,66,69,68,60,5,5,10,13,13,0,0,10103,409,0,243,55,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2994,3618,307,73,39,9999,0,1065,0,3954,4211,4,3,2419,490,2000,0,0,72,72,53,0,143,1,0,0,1440,1584,959,676,0,10,66,69,68,60,5,5,10,13,13,0,0,10103,409,0,243,55,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,100
3994,3618,307,73,39,9999,0,1310,0,3954,5179,5,3,2419,490,2000,0,0,48,72,53,0,90,25,0,0,1440,1584,5184,2335,0,23,60,69,72,84,23,23,10,28,59,0,0,10103,409,0,243,55,299,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,376,376,100
4994,3618,307,73,39,9999,0,1196,0,3954,4728,5,3,2419,490,2000,0,0,71,72,44,0,83,0,0,0,1440,1584,5959,2322,0,19,58,62,47,47,19,19,19,9,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,374,374,100
5995,3618,307,73,39,9999,0,1174,0,3954,4641,4,3,1478,490,1555,0,0,72,72,36,0,0,0,0,0,1440,1584,5023,2338,0,28,64,50,58,47,27,19,28,22,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,399,399,100
6995,3618,307,73,39,9999,0,1162,0,3954,4594,4,3,1478,490,1555,0,0,73,72,36,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1593,1593,100
7994,3618,307,73,39,9999,0,1140,0,3954,4507,4,3,1478,490,1353,0,0,73,72,35,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2252,2252,100
8994,3618,307,73,39,9999,0,1101,0,3954,4353,4,3,1478,490,1353,0,0,73,72,35,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9994,3618,307,73,39,9999,0,1103,0,3954,4361,4,3,1478,490,1353,0,0,73,72,36,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10994,3618,307,73,39,9999,0,1095,0,3954,4329,4,3,1478,490,1353,0,0,73,72,36,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11994,3618,307,73,39,9999,0,1103,0,3954,4361,4,3,1478,490,1353,0,0,73,72,35,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12995,3618,307,73,39,9999,0,1101,0,3949,4347,4,3,1478,490,1353,0,0,73,72,36,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13995,3618,307,73,39,9999,0,1085,0,3949,4284,4,3,1478,490,1353,0,0,73,72,36,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14995,3618,307,73,39,9999,0,1086,0,3949,4288,4,3,1478,490,1353,0,0,73,72,36,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15995,3618,307,73,39,9999,0,1094,0,3949,4320,4,3,1478,490,1353,0,0,73,72,35,0,0,0,0,0,1440,1584,4498,2333,0,27,77,59,61,77,21,27,21,14,64,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16995,3618,307,73,39,9999,0,945,0,3949,3731,5,3,1766,490,1555,0,0,57,72,36,0,0,73,0,0,1440,1584,3992,663,0,50,28,33,42,35,39,10,50,5,5,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17995,3618,307,73,39,9999,0,1245,0,3949,4916,5,3,1766,490,1353,0,0,8,72,68,0,46,16,0,0,1440,1584,4832,691,0,22,30,34,31,23,5,18,22,9,44,0,0,10103,409,0,243,55,299,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18995,3618,307,73,39,9999,0,993,0,3949,3921,5,3,1766,490,1353,0,0,71,72,43,0,123,10,0,0,1440,1584,5815,691,0,40,28,38,28,28,40,15,19,5,24,0,0,10103,409,0,243,55,299,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20005,3172,700,73,39,9999,0,1185,0,3949,4679,5,3,1766,490,1353,0,0,47,72,53,0,123,10,0,1,1440,1584,8583,1053,0,27,33,45,46,37,14,27,25,9,66,0,0,11483,821,0,618,64,683,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20995,3172,700,73,39,9999,0,1347,0,3949,5319,5,3,1766,490,1353,0,0,67,72,53,0,31,52,0,1,1440,1584,7949,1080,0,28,43,42,34,34,19,19,28,9,66,0,0,11483,821,0,618,64,683,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21995,3172,700,73,39,9999,0,1352,0,3949,5339,5,3,1478,490,1353,0,0,73,72,53,0,73,0,0,1,1440,1584,8077,1102,0,27,48,56,33,39,23,14,27,0,64,0,0,11483,821,0,618,64,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
22995,3172,700,73,39,9999,0,1317,0,3930,5175,4,3,1478,490,1353,0,0,71,72,40,0,56,0,0,1,1440,1584,7158,1026,0,28,45,45,45,31,21,19,28,5,61,0,0,11483,821,0,618,64,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
23995,3172,700,73,39,9999,0,1289,0,3930,5065,4,3,1478,490,2000,0,0,72,72,36,0,0,0,0,1,1440,1584,7093,1036,0,33,36,50,37,37,14,25,33,13,59,0,0,11483,821,0,618,64,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
