Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
994,3587,307,100,23,9999,0,517,0,4305,2225,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1440,1584,977,676,0,17,94,100,94,94,13,17,10,5,13,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1993,3587,307,100,23,9999,0,479,0,4307,2063,4,3,2419,490,2000,0,0,70,72,27,0,0,2,0,0,1440,1584,972,684,0,30,50,100,55,42,19,30,27,5,15,0,0,10103,409,0,243,55,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2993,3587,307,100,23,9999,0,444,0,4307,1912,4,3,2419,490,2000,0,0,73,72,25,0,0,0,0,0,1440,1584,982,2329,0,10,55,57,39,52,0,9,10,5,29,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,30,100
3994,3587,307,100,23,9999,0,822,0,4307,3540,5,3,2419,490,2000,0,0,73,72,25,0,0,16,0,0,1440,1584,5174,2340,0,22,65,94,71,100,5,22,14,10,57,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4993,3587,307,100,23,9999,0,758,0,4307,3264,5,3,2419,490,2000,0,0,45,72,39,0,27,13,0,0,1440,1584,5129,2334,0,23,64,78,45,39,23,10,23,5,64,0,0,10103,409,0,243,55,299,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,560,560,100
5993,3587,307,100,23,9999,0,581,0,4307,2502,4,3,1478,490,1804,0,0,73,72,35,0,0,0,0,0,1440,1584,4366,2337,0,31,63,62,75,100,21,27,31,5,65,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1165,1165,100
6993,3587,307,100,23,9999,0,552,0,4307,2377,4,3,1478,490,1804,0,0,73,72,35,0,0,0,0,0,1440,1584,3304,2342,0,25,55,64,68,63,25,25,11,5,65,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1876,1876,100
7993,3587,307,100,23,9999,0,551,0,4295,2366,4,3,1478,490,2000,0,0,73,72,35,0,0,0,0,0,1440,1584,3304,2342,0,25,55,64,68,63,25,25,11,5,65,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2819,2819,100
8993,3587,307,100,23,9999,0,543,0,4295,2332,4,3,1478,490,1353,0,0,73,72,35,0,0,0,0,0,1440,1584,3304,2342,0,25,55,64,68,63,25,25,11,5,65,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9993,3587,307,100,23,9999,0,120,0,4347,521,4,3,1478,490,1353,0,0,73,72,35,0,0,0,0,0,1440,1584,3304,2342,0,25,55,64,68,63,25,25,11,5,65,0,0,10103,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
