Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
997,3655,307,41,36,168,0,242,0,3852,932,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1440,1584,1049,676,0,10,55,70,27,76,5,5,10,13,13,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1994,3655,307,41,36,302,0,231,0,3852,889,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1440,1584,956,673,0,22,100,100,94,95,21,18,22,14,13,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2997,3655,307,41,36,302,0,148,0,3852,570,4,3,2419,490,2000,0,0,69,72,25,0,0,3,0,0,1440,1584,984,678,0,14,73,100,90,75,14,5,5,17,13,0,0,10120,409,0,243,55,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3995,3655,307,41,36,302,0,83,0,3852,319,4,3,2419,490,2000,0,0,67,72,25,0,0,18,0,0,1440,1584,923,2310,0,47,68,80,68,78,47,5,41,14,23,0,0,10120,409,0,243,55,299,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570,570,100
4996,3655,307,41,36,302,0,52,0,3852,200,5,3,2419,490,2000,0,0,47,72,49,0,98,16,0,0,1440,1584,5577,2325,0,36,76,95,75,78,22,15,36,14,59,0,0,10120,409,0,243,55,299,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,341,341,100
5995,3655,307,41,36,302,0,56,0,3852,215,5,3,1478,490,2000,0,0,71,72,43,0,38,0,0,0,1440,1584,5482,2330,0,27,76,57,72,61,19,27,22,13,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1015,1015,100
6995,3655,307,41,36,302,0,36,0,3852,138,4,3,1478,490,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,5970,2337,0,34,100,100,100,94,31,23,34,14,62,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,755,755,100
7994,3655,307,41,36,302,0,19,0,3852,73,4,3,1478,490,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,960,960,100
8995,3655,307,41,36,302,0,85,0,3835,325,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2447,2447,100
9995,3655,307,41,36,302,0,60,0,3835,230,4,3,1478,490,1353,0,0,72,72,36,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10995,3655,307,41,36,302,0,70,0,3835,268,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11995,3655,307,41,36,302,0,74,0,3835,283,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12996,3655,307,41,36,302,0,68,0,3835,260,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13995,3655,307,41,36,302,0,58,0,3835,222,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14995,3655,307,41,36,302,0,84,0,3835,322,4,3,1478,490,1353,0,0,72,72,36,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15997,3655,307,41,36,302,0,108,0,3835,414,4,3,1478,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,3515,2344,0,25,75,47,76,60,10,22,25,5,63,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16996,3655,307,41,35,85,0,218,0,3835,836,5,3,1766,490,2000,0,0,61,72,35,0,0,72,0,0,1440,1584,4044,676,0,80,46,45,35,89,14,80,14,5,5,0,0,10120,409,0,243,55,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17996,3655,307,41,35,218,0,132,0,3845,507,5,3,1766,490,1353,0,0,9,72,63,0,4,70,0,0,1440,1584,3937,685,0,52,66,56,85,33,44,52,50,13,28,0,0,10120,409,0,243,55,299,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18995,3655,307,41,35,218,0,174,0,3845,669,5,3,1766,490,2000,0,0,70,72,47,0,86,5,0,0,1440,1584,4853,687,0,19,61,38,88,25,18,9,19,0,41,0,0,10120,409,0,243,55,299,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20006,3200,702,41,35,174,0,115,0,3841,441,5,3,1766,490,1353,0,0,70,72,47,0,86,5,0,1,1440,1584,6057,689,0,100,57,68,31,57,0,0,100,5,8,0,0,11514,823,0,621,63,685,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20996,3200,702,41,35,174,0,167,0,3841,641,5,3,1766,490,2000,0,0,48,72,54,0,34,45,0,1,1440,1584,7777,1093,0,34,52,55,52,77,23,34,25,13,65,0,0,11514,823,0,621,63,685,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
