Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
997,3626,285,70,35,0,0,0,0,4031,0,2,2,2419,441,2000,0,0,73,72,35,0,0,26,0,0,1440,1584,1094,1129,0,17,52,57,38,54,0,5,17,5,17,0,0,10454,389,0,230,46,277,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,3626,285,70,35,0,0,65,0,4031,262,2,2,2419,441,2000,0,0,73,72,37,0,0,0,0,0,1440,1584,1105,720,0,9,30,39,25,16,0,9,9,0,14,0,0,10454,389,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2998,3626,285,70,35,0,0,0,0,4031,0,2,2,2419,441,2000,0,0,73,72,36,0,0,0,0,0,1440,1584,1105,721,0,13,38,36,22,33,9,9,13,5,14,0,0,10454,389,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3998,3626,285,70,35,0,0,0,0,4031,0,2,2,1171,441,1353,0,0,73,72,35,0,0,0,0,0,1440,1584,1106,719,0,9,37,31,15,22,0,5,9,9,14,0,0,10454,389,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4998,3626,285,70,35,0,0,0,0,4031,0,3,2,1478,441,2000,0,0,73,72,36,0,0,39,0,0,1440,1584,1116,720,0,52,36,47,27,39,10,23,52,13,7,0,0,10454,389,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5998,3626,285,70,35,0,0,0,0,4030,0,3,2,1478,441,1353,0,0,73,72,35,0,0,39,0,0,1440,1584,1116,720,0,52,36,47,27,39,10,23,52,13,7,0,0,10454,389,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6999,3626,285,70,35,0,0,0,0,4030,0,3,2,1478,441,1353,0,0,73,72,35,0,0,39,0,0,1440,1584,1116,720,0,52,36,47,27,39,10,23,52,13,7,0,0,10454,389,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8001,3626,285,70,35,0,0,0,0,4030,0,4,2,1478,441,1555,0,0,16,72,35,0,9,68,0,0,1440,1584,1054,733,0,59,36,41,34,28,38,10,59,9,5,0,0,10454,389,0,230,46,277,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8998,3626,285,70,35,0,0,0,0,4030,0,4,2,1478,441,1353,0,0,6,72,52,0,12,54,0,0,1440,1584,146,733,0,76,31,33,46,30,19,47,76,10,7,0,0,10454,389,0,230,46,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999,3626,285,70,35,0,0,0,0,4030,0,4,2,1478,441,2000,0,0,58,72,40,0,39,4,0,0,1440,1584,137,732,0,22,39,39,27,30,0,9,22,9,7,0,0,10454,389,0,230,46,277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10998,3626,285,70,35,0,0,0,0,4030,0,4,2,1478,490,1353,0,0,58,72,39,0,39,4,0,0,1440,1584,137,732,0,22,39,39,27,30,0,9,22,9,7,0,0,10454,389,0,230,46,277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11998,3626,285,70,35,0,0,0,0,4030,0,4,2,1478,490,1353,0,0,58,72,39,0,39,4,0,0,1440,1584,137,732,0,22,39,39,27,30,0,9,22,9,7,0,0,10454,389,0,230,46,277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12998,3626,285,70,35,0,0,0,0,4030,0,4,2,1478,490,1353,0,0,58,72,39,0,39,4,0,0,1440,1584,137,732,0,22,39,39,27,30,0,9,22,9,7,0,0,10454,389,0,230,46,277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13999,3626,285,70,35,0,0,0,0,4030,0,3,3,1478,490,1353,0,0,58,72,39,0,39,4,0,0,1440,1584,138,733,0,94,47,30,38,29,94,4,4,0,98,0,0,10454,389,0,230,46,277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14998,3626,285,70,35,0,0,0,0,4030,0,4,3,1478,490,1804,0,0,66,72,56,3,4,58,0,0,1440,1584,15021,1014,0,39,34,41,25,37,39,23,23,9,65,0,0,10454,389,0,230,46,277,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16000,3626,285,70,35,0,0,0,0,4030,0,4,3,1478,490,1804,0,0,41,72,52,0,0,14,0,0,1440,1584,13392,975,0,19,31,31,36,36,14,19,19,5,94,0,0,10454,389,0,230,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16999,3626,285,70,35,0,0,0,0,4030,0,4,3,1382,490,1804,0,0,67,72,51,0,0,4,0,0,1440,1584,13332,917,0,19,43,45,29,26,10,14,19,13,98,0,0,10454,389,0,230,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17999,3626,285,70,35,0,0,0,0,4030,0,3,3,1382,490,1804,0,0,68,72,51,0,0,4,0,0,1440,1584,13324,911,0,26,37,36,46,27,26,14,22,9,98,0,0,10454,389,0,230,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18999,3626,285,70,35,0,0,0,0,4030,0,3,3,1171,490,1804,0,0,68,72,52,0,0,5,0,0,1440,1584,13169,926,0,19,26,33,33,38,19,19,14,0,99,0,0,10454,389,0,230,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
