Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
995,3625,285,64,38,1016,0,1273,0,4075,5187,2,2,2419,441,2000,0,0,72,72,36,0,0,0,0,0,1440,1584,1094,763,0,9,50,35,28,28,9,5,9,5,15,0,0,10420,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,3625,285,64,38,1016,0,1281,0,4075,5220,2,2,2419,441,2000,0,0,73,72,36,0,0,0,0,0,1440,1584,1107,722,0,9,23,33,31,22,4,9,0,5,14,0,0,10420,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2995,3625,285,64,38,1016,0,1303,0,4075,5309,2,2,2419,441,2000,0,0,73,72,35,0,0,0,0,0,1440,1584,1105,720,0,9,33,40,30,27,9,5,5,13,14,0,0,10420,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3995,3625,285,64,38,1016,0,1036,0,4075,4221,2,2,1171,441,1353,0,0,73,72,35,0,0,0,0,0,1440,1584,1105,720,0,9,33,40,30,27,9,5,5,13,14,0,0,10420,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4998,3625,285,64,38,1016,0,1354,0,4078,5521,2,2,1478,441,1804,0,0,73,72,34,0,0,0,0,0,1440,1584,1117,721,0,61,11,33,33,23,61,4,25,5,5,0,0,10420,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5995,3625,285,64,38,1036,0,1327,0,4100,5440,4,2,1478,441,1353,0,0,16,72,35,0,0,2,0,0,1440,1584,1868,719,0,66,19,23,39,19,66,9,28,5,5,0,0,10420,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6997,3625,285,64,38,1036,0,1354,0,4101,5552,4,2,1478,441,1353,0,0,16,72,35,0,0,2,0,0,1440,1584,1868,719,0,66,19,23,39,19,66,9,28,5,5,0,0,10420,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7995,3625,285,64,38,1354,0,1192,0,4101,4888,4,2,1478,441,2000,0,0,16,72,36,0,9,68,0,0,1440,1584,1843,726,0,52,33,35,30,15,52,5,44,13,5,0,0,10420,389,0,231,46,277,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8995,3625,285,64,38,1354,0,1346,0,4101,5519,4,2,1478,441,1353,0,0,6,72,55,0,13,20,0,0,1440,1584,136,729,0,18,39,21,17,26,13,18,9,5,7,0,0,10420,389,0,231,46,277,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9995,3625,285,64,38,1354,0,1295,0,4101,5310,4,2,1478,441,2000,0,0,6,72,55,0,13,20,0,0,1440,1584,136,729,0,18,39,21,17,26,13,18,9,5,7,0,0,10420,389,0,231,46,277,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10995,3625,285,64,38,1354,0,1156,0,4101,4740,4,2,1478,441,1353,0,0,6,72,55,0,13,20,0,0,1440,1584,136,729,0,18,39,21,17,26,13,18,9,5,7,0,0,10420,389,0,231,46,277,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11995,3625,285,64,38,1354,0,1213,0,4101,4974,4,2,1478,490,1353,0,0,6,72,55,0,13,20,0,0,1440,1584,136,729,0,18,39,21,17,26,13,18,9,5,7,0,0,10420,389,0,231,46,277,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12995,3625,285,64,38,1354,0,1254,0,4101,5142,4,2,1478,490,1353,0,0,6,72,55,0,13,20,0,0,1440,1584,136,729,0,18,39,21,17,26,13,18,9,5,7,0,0,10420,389,0,231,46,277,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
