Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
996,3639,285,70,37,0,0,0,0,4034,0,2,2,2419,441,2000,0,0,72,72,36,0,0,6,0,0,1440,1584,1107,719,0,9,55,38,47,65,5,9,0,5,14,0,0,10437,389,0,231,46,277,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,3639,285,70,37,0,0,0,0,4034,0,2,2,2419,441,2000,0,0,73,72,37,0,0,0,0,0,1440,1584,1107,720,0,13,26,31,25,31,13,9,4,5,14,0,0,10437,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2996,3639,285,70,37,0,0,0,0,4034,0,2,2,2419,441,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,1105,721,0,9,17,23,25,15,9,4,0,9,14,0,0,10437,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3996,3639,285,70,37,0,0,0,0,4034,0,2,2,1382,441,1353,0,0,73,72,37,0,0,0,0,0,1440,1584,1106,720,0,86,29,47,16,22,86,9,0,9,5,0,0,10437,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4996,3639,285,70,37,0,0,0,0,4034,0,4,2,1478,441,2000,0,0,16,72,37,0,3,59,0,0,1440,1584,1802,733,0,68,28,26,23,25,68,10,19,5,5,0,0,10437,389,0,231,46,277,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5996,3639,285,70,37,0,0,65,0,4034,262,4,2,1478,441,1353,0,0,16,72,36,0,3,59,0,0,1440,1584,1802,733,0,68,28,26,23,25,68,10,19,5,5,0,0,10437,389,0,231,46,277,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6996,3639,285,70,37,0,0,0,0,4034,0,4,2,1478,441,1353,0,0,16,72,36,0,3,59,0,0,1440,1584,1802,733,0,68,28,26,23,25,68,10,19,5,5,0,0,10437,389,0,231,46,277,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7997,3639,285,70,37,0,0,0,0,4034,0,4,2,1478,441,1353,0,0,6,72,55,0,0,73,0,0,1440,1584,134,743,0,94,23,35,19,19,23,45,94,9,7,0,0,10437,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8996,3639,285,70,37,0,0,0,0,4034,0,4,2,1478,441,1353,0,0,59,72,39,0,11,36,0,0,1440,1584,136,727,0,22,19,33,28,15,5,13,22,5,7,0,0,10437,389,0,231,46,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9996,3639,285,70,37,0,0,0,0,4034,0,4,2,1478,441,1353,0,0,59,72,40,0,11,36,0,0,1440,1584,136,727,0,22,19,33,28,15,5,13,22,5,7,0,0,10437,389,0,231,46,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10997,3639,285,70,37,0,0,0,0,4034,0,4,2,1478,490,1353,0,0,59,72,39,0,11,36,0,0,1440,1584,136,727,0,22,19,33,28,15,5,13,22,5,7,0,0,10437,389,0,231,46,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11996,3639,285,70,37,0,0,0,0,4034,0,4,2,1478,490,1353,0,0,59,72,39,0,11,36,0,0,1440,1584,136,727,0,22,19,33,28,15,5,13,22,5,7,0,0,10437,389,0,231,46,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12996,3639,285,70,37,0,0,0,0,4034,0,4,2,1382,490,1353,0,0,59,72,40,0,11,36,0,0,1440,1584,136,727,0,22,19,33,28,15,5,13,22,5,7,0,0,10437,389,0,231,46,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13997,3639,285,70,37,0,0,0,0,4034,0,4,3,1478,490,1804,0,0,65,72,55,7,0,48,0,0,1440,1584,13138,871,0,36,30,31,19,21,19,23,36,9,20,0,0,10437,389,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14997,3639,285,70,37,0,0,0,0,4034,0,4,3,1478,490,1804,0,0,48,72,53,1,3,42,0,0,1440,1584,14358,955,0,23,50,50,57,60,19,19,23,5,96,0,0,10437,389,0,231,46,277,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15999,3639,285,70,37,0,0,0,0,4034,0,4,3,1382,490,1353,0,0,59,72,51,0,0,14,0,0,1440,1584,14889,941,0,18,35,28,33,11,18,10,14,5,94,0,0,10437,389,0,231,46,277,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16997,3639,285,70,37,0,0,0,0,4034,0,3,3,1382,490,1804,0,0,58,72,52,0,0,14,0,0,1440,1584,14983,933,0,27,30,43,5,30,19,27,5,5,93,0,0,10437,389,0,231,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17997,3639,285,70,37,0,0,66,0,4034,266,3,3,1171,490,1804,0,0,57,72,52,0,0,15,0,0,1440,1584,14950,941,0,18,34,30,15,25,14,18,5,5,94,0,0,10437,389,0,231,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18997,3639,285,70,37,0,0,0,0,4033,0,2,3,1171,490,1804,0,0,63,72,53,0,0,15,0,0,1440,1584,12064,913,0,27,17,41,15,11,14,27,22,13,95,0,0,10437,389,0,231,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,2808,1147,70,37,0,0,0,0,4033,0,2,3,1171,490,1804,0,0,73,72,55,0,0,0,0,0,1440,1584,12239,905,0,28,39,21,23,26,14,28,14,9,95,0,0,11269,1261,0,1079,52,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20997,2808,1147,70,37,0,0,0,0,4033,0,2,3,1171,490,1804,0,0,65,72,56,0,3,11,0,0,1440,1584,13005,938,0,27,33,21,21,17,14,23,27,5,98,0,0,11269,1261,0,1079,52,1132,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21997,2808,1147,70,37,0,0,0,0,4033,0,2,3,1171,490,1804,0,0,73,72,51,0,2,1,0,0,1440,1584,12242,891,0,26,12,35,21,11,19,26,23,9,95,0,0,11269,1261,0,1079,52,1132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23000,2808,1147,70,37,0,0,0,0,4033,0,2,3,1171,490,1353,0,0,72,72,54,0,0,0,0,0,1440,1584,11938,974,0,19,25,31,19,16,19,19,15,9,95,0,0,11269,1261,0,1079,52,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23998,2808,1147,70,37,0,0,0,0,4033,0,2,3,1382,490,1353,0,0,64,72,56,0,2,12,0,0,1440,1584,13376,940,0,22,31,11,27,11,14,10,22,5,97,0,0,11269,1261,0,1079,52,1132,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24997,2808,1147,70,37,0,0,0,0,4033,0,3,3,1382,490,1555,0,0,48,72,52,0,1,24,0,0,1440,1584,15325,965,0,30,36,39,26,29,19,21,30,9,90,0,0,11269,1261,0,1079,52,1132,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
