Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
997,3641,285,59,35,9999,0,1077,0,3784,4075,2,2,2419,441,2000,0,0,69,72,38,0,1,10,0,0,1440,1584,1217,1466,135,17,37,55,52,38,9,17,5,5,21,0,0,10430,390,0,230,46,277,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,3641,285,59,35,9999,0,1060,0,3784,4011,2,2,2419,441,2000,0,0,72,72,39,0,0,0,0,0,1440,1584,1144,980,137,9,29,43,25,30,0,9,5,5,18,0,0,10430,390,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2998,3641,285,59,35,9999,0,1001,0,3784,3787,2,2,2419,441,2000,0,0,72,72,36,0,0,0,0,0,1440,1584,1152,980,138,13,39,38,16,12,13,9,5,0,18,0,0,10430,390,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3998,3641,285,59,35,9999,0,1245,0,3784,4711,2,2,1382,441,1353,0,0,72,72,36,0,0,0,0,0,1440,1584,1140,980,138,55,22,47,26,26,55,0,44,13,9,0,0,10430,390,0,230,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4998,3641,285,59,35,9999,0,1043,0,3784,3946,4,2,1478,441,1353,0,0,17,72,37,0,2,57,0,0,1440,1584,1622,975,140,81,43,42,16,25,14,9,81,9,9,0,0,10430,390,0,230,46,277,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5998,3641,285,59,35,9999,0,988,0,3784,3738,4,2,1478,441,1353,0,0,17,72,37,0,2,57,0,0,1440,1584,1622,975,140,81,43,42,16,25,14,9,81,9,9,0,0,10430,390,0,230,46,277,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6998,3641,285,59,35,9999,0,1014,0,3784,3836,4,2,1478,441,1555,0,0,17,72,37,0,2,57,0,0,1440,1584,1622,975,140,81,43,42,16,25,14,9,81,9,9,0,0,10430,390,0,230,46,277,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7998,3641,285,59,35,9999,0,1085,0,3784,4105,4,2,1478,441,2000,0,0,17,72,37,0,2,57,0,0,1440,1584,1868,965,142,52,22,50,30,36,52,0,47,9,9,0,0,10430,390,0,230,46,277,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8998,3641,285,59,35,9999,0,943,0,3812,3594,4,2,1478,441,1353,0,0,6,72,48,0,11,34,0,0,1440,1584,136,978,134,19,36,56,25,36,9,19,0,0,11,0,0,10430,390,0,230,46,277,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9998,3641,285,59,35,9999,0,1073,0,3812,4090,4,2,1478,441,1353,0,0,6,72,49,0,11,34,0,0,1440,1584,136,978,134,19,36,56,25,36,9,19,0,0,11,0,0,10430,390,0,230,46,277,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
