Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
997,3610,285,65,40,9999,0,1079,0,3857,4161,3,2,2419,441,2000,0,0,63,72,36,0,0,0,0,0,1440,1584,1106,714,0,13,33,50,33,18,5,0,13,0,14,0,0,10420,389,0,231,45,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,3610,285,65,40,9999,0,1035,0,3857,3991,2,2,2419,441,2000,0,0,72,72,38,0,0,0,0,0,1440,1584,1119,721,0,13,34,57,36,33,13,5,13,9,14,0,0,10420,389,0,231,45,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2997,3610,285,65,40,9999,0,937,0,3857,3614,2,2,2419,441,2000,0,0,72,72,35,0,0,0,0,0,1440,1584,1086,722,0,9,39,50,45,5,9,9,9,5,14,0,0,10420,389,0,231,45,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3997,3610,285,65,40,9999,0,1379,0,3857,5318,3,2,1478,441,1353,0,0,73,72,37,0,0,6,0,0,1440,1584,1135,719,0,57,66,72,66,59,14,22,57,5,7,0,0,10420,389,0,231,45,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4997,3610,285,65,40,9999,0,1058,0,3857,4080,4,2,1478,441,1353,0,0,17,72,38,0,8,68,0,0,1440,1584,1934,724,0,54,33,44,28,28,54,10,38,9,5,0,0,10420,389,0,231,45,277,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5997,3610,285,65,40,9999,0,1024,0,3857,3949,4,2,1478,441,1353,0,0,17,72,37,0,8,68,0,0,1440,1584,1934,724,0,54,33,44,28,28,54,10,38,9,5,0,0,10420,389,0,231,45,277,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6998,3610,285,65,40,9999,0,1057,0,3857,4076,4,2,1478,441,2000,0,0,17,72,37,0,8,68,0,0,1440,1584,1934,724,0,57,50,42,29,37,45,5,57,5,5,0,0,10420,389,0,231,45,277,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7997,3610,285,65,40,9999,0,1254,0,3857,4836,4,2,1478,441,1353,0,0,6,72,50,0,1,73,0,0,1440,1584,136,744,0,77,36,57,16,16,31,77,38,13,7,0,0,10420,389,0,231,45,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8997,3610,285,65,40,9999,0,964,0,3857,3718,4,2,1478,441,1353,0,0,58,72,37,0,11,14,0,0,1440,1584,136,738,0,14,42,30,26,22,9,5,14,5,7,0,0,10420,389,0,231,45,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9997,3610,285,65,40,9999,0,1056,0,3865,4081,4,2,1478,441,1353,0,0,58,72,38,0,11,14,0,0,1440,1584,136,738,0,14,42,30,26,22,9,5,14,5,7,0,0,10420,389,0,231,45,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10997,3610,285,65,40,9999,0,979,0,3865,3783,4,2,1478,490,1353,0,0,58,72,37,0,11,14,0,0,1440,1584,136,738,0,14,42,30,26,22,9,5,14,5,7,0,0,10420,389,0,231,45,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11997,3610,285,65,40,9999,0,957,0,3865,3698,4,2,1478,490,1353,0,0,58,72,37,0,11,14,0,0,1440,1584,136,738,0,14,42,30,26,22,9,5,14,5,7,0,0,10420,389,0,231,45,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12997,3610,285,65,40,9999,0,1052,0,3865,4065,3,3,1478,490,1353,0,0,58,72,38,0,11,14,0,0,1440,1584,137,739,0,85,50,44,36,56,85,5,13,9,93,0,0,10420,389,0,231,45,277,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13998,3610,285,65,40,9999,0,1197,0,3865,4626,4,3,1478,490,2000,0,0,67,72,53,6,0,52,0,0,1440,1584,13068,794,0,57,35,33,45,34,19,10,57,9,27,0,0,10420,389,0,231,45,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14998,3610,285,65,40,9999,0,1500,0,3865,6261,4,3,1478,490,2000,0,0,47,72,53,0,3,32,0,0,1440,1584,13761,929,0,15,50,57,36,43,10,15,14,9,98,0,0,10420,389,0,231,45,277,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15998,3610,285,65,40,9999,0,1500,0,3865,6261,4,3,1382,490,2000,0,0,65,72,51,0,0,9,0,0,1440,1584,13918,922,0,25,27,25,16,27,0,25,18,9,96,0,0,10420,389,0,231,45,277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16998,3610,285,65,40,9999,0,1500,0,3865,5979,4,3,1478,490,1353,0,0,64,72,52,0,0,9,0,0,1440,1584,13534,1000,0,54,39,31,27,19,10,36,54,9,33,0,0,10420,389,0,231,45,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17998,3610,285,65,40,9999,0,1500,0,3865,5975,4,3,1478,490,1555,0,0,53,72,51,0,0,21,0,0,1440,1584,13761,978,0,19,45,52,54,60,19,14,19,5,93,0,0,10420,389,0,231,45,277,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18998,3610,285,65,40,9999,0,1388,0,3865,5364,4,3,1478,490,1555,0,0,67,72,51,0,0,6,0,0,1440,1584,13670,977,0,64,31,27,29,28,18,15,64,17,34,0,0,10420,389,0,231,45,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
