Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
997,3623,286,56,37,9999,0,996,0,3766,3750,3,2,2419,441,2000,0,0,74,72,52,0,57,0,0,0,1440,1584,1098,719,0,13,22,25,25,19,13,5,4,13,14,0,0,10420,390,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,3623,286,56,37,9999,0,1023,0,3793,3880,2,2,2419,441,2000,0,0,71,72,42,0,15,0,0,0,1440,1584,1153,720,0,9,38,25,37,65,9,9,5,5,15,0,0,10420,390,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2997,3623,286,56,37,9999,0,1280,0,3793,4855,2,2,2419,441,2000,0,0,72,72,39,0,0,0,0,0,1440,1584,1171,710,0,9,36,36,11,19,9,9,9,9,15,0,0,10420,390,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3998,3623,286,56,37,9999,0,949,0,3793,3599,2,2,1478,441,1353,0,0,72,72,39,0,0,0,0,0,1440,1584,1171,710,0,9,36,36,11,19,9,9,9,9,15,0,0,10420,390,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4997,3623,286,56,37,9999,0,983,0,3793,3728,4,2,1478,441,1353,0,0,17,72,40,0,2,56,0,0,1440,1584,1173,727,0,89,35,39,26,22,0,89,14,9,5,0,0,10420,390,0,231,46,277,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5997,3623,286,56,37,9999,0,1052,0,3793,3990,4,2,1478,441,1353,0,0,17,72,40,0,2,56,0,0,1440,1584,1173,727,0,89,35,39,26,22,0,89,14,9,5,0,0,10420,390,0,231,46,277,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6998,3623,286,56,37,9999,0,1315,0,3793,4987,4,2,1478,441,2000,0,0,17,72,40,0,2,56,0,0,1440,1584,1410,733,0,54,17,36,15,16,10,40,54,5,5,0,0,10420,390,0,231,46,277,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7998,3623,286,56,37,9999,0,939,0,3793,3561,4,2,1478,441,2000,0,0,5,72,43,0,12,32,0,0,1440,1584,136,728,0,14,31,19,35,30,14,5,10,9,7,0,0,10420,390,0,231,46,277,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8998,3623,286,56,37,9999,0,1044,0,3793,3959,4,2,1478,441,1353,0,0,57,72,36,0,51,0,0,0,1440,1584,135,731,0,17,22,36,6,33,13,17,15,5,7,0,0,10420,390,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9998,3623,286,56,37,9999,0,959,0,3793,3637,4,2,1478,441,1353,0,0,57,72,37,0,51,0,0,0,1440,1584,135,731,0,17,22,36,6,33,13,17,15,5,7,0,0,10420,390,0,231,46,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
