Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
903,3502,311,84,40,9999,0,973,0,4073,3963,2,2,2419,441,2000,1,1,72,72,45,0,69,3,2,0,1440,1584,1636,877,0,5,30,6,21,35,5,0,5,10,18,0,0,10476,407,0,264,39,304,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,3502,311,84,40,9999,0,1059,0,4073,4313,2,2,2419,441,2000,1,1,73,72,47,0,73,0,66,0,1440,1584,1735,1320,0,5,6,22,16,22,0,5,0,13,23,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903,3502,311,84,40,9999,0,1147,0,4073,4671,2,2,2419,441,2000,1,1,73,72,47,0,73,0,31,0,1440,1584,1617,1320,0,9,42,11,11,22,9,4,5,10,22,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3903,3502,311,84,40,9999,0,905,0,4088,3699,2,2,1171,441,1353,1,1,73,72,47,0,73,0,6,0,1440,1584,1623,1320,0,9,38,33,26,15,5,5,9,14,23,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4903,3502,311,84,40,9999,0,1006,0,4088,4112,2,2,1171,441,1353,1,1,66,72,46,0,65,8,2,0,1440,1584,1033,1335,0,14,47,27,16,25,10,5,14,19,18,0,0,10476,407,0,264,39,304,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5903,3502,311,84,40,9999,0,958,0,4088,3916,2,2,1171,441,1804,1,1,65,72,47,0,61,11,9,0,1440,1584,1027,1333,0,14,36,25,39,25,10,5,14,9,14,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6903,3502,311,84,40,9999,0,1064,0,4088,4349,2,2,1171,441,1804,1,1,73,72,47,0,68,6,3,0,1440,1584,952,1324,0,35,41,38,39,35,35,33,26,5,15,0,0,10476,407,0,264,39,304,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7903,3502,311,84,40,9999,0,1053,0,4088,4304,2,2,1171,441,2000,1,1,62,72,46,0,59,13,18,0,1440,1584,1415,1317,0,27,43,26,27,39,27,9,18,18,20,0,0,10476,407,0,264,39,304,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8904,3502,311,84,40,9999,0,1079,0,4088,4410,2,2,1171,441,1353,1,1,62,72,46,0,59,13,18,0,1440,1584,1510,1311,0,31,47,30,40,37,19,19,31,13,10,0,0,10476,407,0,264,39,304,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,3502,311,84,40,9999,0,1068,0,4088,4365,2,2,1171,441,1353,1,1,56,72,47,0,54,19,34,0,1440,1584,2006,1319,0,26,44,40,36,40,22,11,26,14,26,0,0,10476,407,0,264,39,304,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
