Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
904,3471,310,84,40,9999,0,978,0,4109,4018,2,2,2419,441,2000,1,1,73,72,48,0,73,0,3,0,1440,1584,1631,1332,0,9,21,35,43,41,9,5,9,10,23,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,3471,310,84,40,9999,0,957,0,4109,3932,2,2,2419,441,2000,1,1,73,72,47,0,73,0,1,0,1440,1584,1628,1333,0,9,47,36,28,16,5,9,9,9,23,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2904,3471,310,84,40,9999,0,979,0,4109,4022,2,2,2419,441,2000,1,1,73,72,47,0,73,0,1,0,1440,1584,1612,1332,0,13,40,39,19,21,0,13,5,5,23,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3905,3471,310,84,40,9999,0,871,0,4109,3578,2,2,1171,441,1353,1,1,66,72,46,0,73,0,1,0,1440,1584,1023,1347,0,14,33,35,28,28,0,0,14,10,18,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4905,3471,310,84,40,9999,0,874,0,4109,3591,2,2,1171,441,1555,1,1,68,72,47,0,65,8,22,0,1440,1584,1023,1341,0,36,30,31,14,28,36,14,31,13,14,0,0,10476,407,0,264,39,304,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905,3471,310,84,40,9999,0,939,0,4109,3858,2,2,1382,441,1804,1,1,72,72,47,0,57,16,30,0,1440,1584,952,1336,0,17,47,17,25,27,4,5,17,13,17,0,0,10476,407,0,264,39,304,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6905,3471,310,84,40,9999,0,982,0,4109,4035,3,2,1382,441,1804,1,1,62,72,46,0,70,2,30,0,1440,1584,1421,1331,0,14,22,25,25,21,9,4,14,5,21,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7905,3471,310,84,40,9999,0,1066,0,4109,4380,3,2,1171,441,2000,1,1,73,72,47,0,62,11,14,0,1440,1584,1541,1311,0,22,31,23,15,19,22,0,14,14,22,0,0,10476,407,0,264,39,304,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8905,3471,310,84,39,9999,0,1043,0,4099,4275,2,2,1171,441,1353,1,1,50,72,46,0,73,0,43,0,1440,1584,1642,1306,0,38,52,57,57,50,33,21,38,36,22,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9905,3471,310,84,39,9999,0,1023,0,4099,4193,2,2,1171,441,1353,1,1,73,72,47,0,47,25,122,0,1440,1584,2065,1324,0,30,16,44,39,33,30,15,21,17,26,0,0,10476,407,0,264,39,304,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
