Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
894,3349,310,74,42,9999,0,1144,0,3956,4525,2,2,2419,441,2000,1,1,73,72,48,0,73,0,4,0,1440,1584,1617,1290,0,13,50,45,28,28,4,9,13,9,22,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,3349,310,74,42,9999,0,1013,0,3956,4007,2,2,2419,441,2000,1,1,73,72,47,0,73,0,22,0,1440,1584,1619,1292,0,13,43,33,21,23,9,13,9,13,22,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894,3349,310,74,42,9999,0,1059,0,3956,4189,2,2,2419,441,2000,1,1,73,72,47,0,73,0,28,0,1440,1584,1444,1291,0,13,18,43,36,5,5,4,13,18,22,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3895,3349,310,74,42,9999,0,918,0,3956,3631,2,2,1171,441,1353,1,1,66,72,46,0,65,8,17,0,1440,1584,1004,1300,0,19,43,41,33,21,0,19,10,19,18,0,0,10476,407,0,264,39,304,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4895,3349,310,74,42,9999,0,1094,0,3956,4327,2,2,1171,441,1353,1,1,64,72,47,0,73,0,1,0,1440,1584,946,1294,0,20,42,43,31,28,20,10,14,0,15,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5895,3349,310,74,42,9999,0,957,0,3956,3785,3,2,1382,441,1353,1,1,72,72,47,0,57,16,5,0,1440,1584,1080,1290,0,61,43,40,31,33,30,61,23,10,13,0,0,10476,407,0,264,39,304,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6895,3349,310,74,42,9999,0,1124,0,3966,4457,3,2,1382,441,1353,1,1,61,72,46,0,62,10,3,0,1440,1584,1416,1314,0,27,36,31,35,27,19,18,27,10,21,0,0,10476,407,0,264,39,304,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7895,3349,310,74,42,9999,0,1024,0,3966,4061,3,2,1171,441,2000,1,1,73,72,47,0,68,4,3,0,1440,1584,1505,1311,0,28,42,36,31,27,14,10,28,0,21,0,0,10476,407,0,264,39,304,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8895,3349,310,74,42,9999,0,1107,0,3968,4392,2,2,1171,441,1555,1,1,34,72,45,0,61,11,1,0,1440,1584,1666,1307,0,36,53,47,54,57,28,36,36,18,19,0,0,10476,407,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9896,3349,310,74,42,9999,0,1017,0,3968,4035,2,2,1171,441,2000,1,1,73,72,47,0,43,30,6,0,1440,1584,2003,1314,0,31,41,43,39,22,31,23,17,9,25,0,0,10476,407,0,264,39,304,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
