Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
867,3409,310,78,41,9999,0,1075,0,4026,4327,2,2,2419,441,2000,1,1,71,72,45,0,73,0,1,0,1440,1584,1633,1290,0,9,42,28,25,25,0,9,9,13,22,0,0,10476,407,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1868,3409,310,78,41,9999,0,1069,0,4026,4303,2,2,2419,441,2000,1,1,73,72,47,0,73,0,1,0,1440,1584,1640,1292,0,13,27,50,60,70,13,5,5,5,22,0,0,10476,407,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2868,3409,310,78,41,9999,0,973,0,4026,3917,2,2,2419,441,2000,1,1,73,72,47,0,73,0,1,0,1440,1584,1627,1292,0,13,55,61,21,54,13,5,9,9,22,0,0,10476,407,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3868,3409,310,78,41,9999,0,1064,0,4026,4283,2,2,1171,441,1353,1,1,73,72,47,0,69,3,2,0,1440,1584,990,1296,0,13,44,14,14,27,5,5,13,9,18,0,0,10476,407,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4868,3409,310,78,41,9999,0,980,0,4026,3945,2,2,1171,441,1804,1,1,66,72,46,0,69,5,4,0,1440,1584,1015,1303,0,18,23,33,16,28,18,13,14,10,18,0,0,10476,407,0,264,39,303,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5868,3409,310,78,41,9999,0,964,0,4026,3881,2,2,1171,441,1353,1,1,64,72,47,0,56,17,4,0,1440,1584,944,1290,0,14,22,35,33,52,10,5,14,9,17,0,0,10476,407,0,264,39,303,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6868,3409,310,78,41,9999,0,1152,0,4026,4637,3,2,1382,441,2000,1,1,73,72,47,0,67,5,4,0,1440,1584,1381,1296,0,27,25,47,22,30,5,25,27,18,17,0,0,10476,407,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7868,3409,310,78,41,9999,0,1041,0,4026,4191,3,2,1382,441,1353,1,1,61,72,46,0,65,9,5,0,1440,1584,1441,1311,0,19,31,33,28,39,19,9,19,14,21,0,0,10476,407,0,264,39,303,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8868,3409,310,78,41,9999,0,1274,0,4003,5099,2,2,1382,441,2000,1,1,73,72,47,0,68,4,4,0,1440,1584,1535,1314,0,40,42,50,17,40,10,16,40,9,9,0,0,10476,407,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9868,3409,310,78,41,9999,0,1066,0,4003,4267,3,2,1382,441,2000,1,1,49,72,46,0,51,22,5,0,1440,1584,2027,1315,0,21,35,35,26,35,16,19,21,10,25,0,0,10476,407,0,264,39,303,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
