Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
970,2669,866,11,37,9999,0,1294,0,3568,4616,0,0,1382,441,1353,1,0,0,90,0,0,0,0,0,0,0,0,0,1400,0,69,36,27,29,36,25,21,69,14,26,0,0,2190,935,0,802,47,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2669,866,11,37,9999,0,1500,0,3568,6590,5,3,1766,490,1555,0,1,3,72,17,1,0,86,14,0,1440,1584,13860,2373,0,76,33,35,36,29,57,50,76,25,91,0,0,2190,935,0,802,47,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2970,2669,866,11,37,9999,0,1500,0,3568,5680,5,3,1766,490,2000,1,1,54,72,48,0,11,60,10,0,1440,1584,3749,1761,0,85,35,29,22,38,85,43,59,14,36,0,0,2190,935,0,802,47,850,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3973,2669,866,11,37,9999,0,1500,0,3568,5616,5,3,1766,441,2000,1,1,66,72,48,0,49,24,7,0,1440,1584,2939,1213,0,27,60,55,50,55,23,19,27,0,31,0,0,2190,935,0,802,47,850,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4971,2669,866,11,36,9999,0,1466,0,3525,5167,5,2,1766,441,1353,1,1,72,72,48,0,71,0,6,0,1440,1584,3246,1301,0,31,39,25,22,23,19,14,31,0,34,0,0,2190,935,0,802,47,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5971,2669,866,11,36,9999,0,1416,0,3525,4991,4,2,1478,441,1555,1,1,70,72,48,0,72,0,79,0,1440,1584,4785,1404,0,39,29,30,31,23,19,25,39,0,49,0,0,2190,935,0,802,47,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6971,2669,866,11,36,9999,0,1363,0,3525,4804,4,2,1766,441,1555,1,1,70,72,48,0,66,3,67,0,1440,1584,4967,1385,0,57,50,36,22,31,30,27,57,10,31,0,0,2190,935,0,802,47,850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7971,2669,866,11,36,9999,0,1478,0,3525,5209,5,2,1766,441,1555,1,1,65,72,48,0,59,10,185,0,1440,1584,4943,1371,0,30,42,38,21,22,15,14,30,0,47,0,0,2190,935,0,802,47,850,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8971,2669,866,11,36,9999,0,1445,0,3525,5093,5,2,1766,441,1555,1,1,72,72,48,0,72,0,202,0,1440,1584,4304,1414,0,25,19,45,13,22,19,11,25,5,43,0,0,2190,935,0,802,47,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9971,2669,866,11,36,9999,0,1475,0,3525,5199,4,2,1478,441,1555,1,1,72,72,48,0,72,0,100,0,1440,1584,5026,1377,0,40,44,25,25,30,19,19,40,0,48,0,0,2190,935,0,802,47,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
