Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
985,3151,318,9,36,26,0,26,0,3684,95,5,3,1766,490,1353,0,0,70,72,28,0,2,47,0,0,1440,1584,1060,1091,0,10,66,69,57,61,9,10,0,5,17,0,0,10137,412,0,252,56,309,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1985,3151,318,9,36,26,0,210,0,3684,773,4,3,1478,490,1353,0,0,72,72,28,0,0,0,0,0,1440,1584,982,1096,0,13,31,50,43,26,13,10,9,0,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2985,3151,318,9,36,26,0,326,0,3684,1200,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3986,3151,318,9,36,26,0,195,0,3684,718,4,3,1478,490,2000,0,0,72,72,26,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4989,3151,318,9,36,26,0,113,0,3684,416,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5985,3151,318,9,36,26,0,7,0,3682,25,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6986,3151,318,9,36,26,0,65,0,3687,239,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7985,3151,318,9,36,26,0,62,0,3687,228,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8985,3151,318,9,36,26,0,85,0,3687,313,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9986,3151,318,9,36,26,0,3,0,3687,11,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10986,3151,318,9,36,26,0,34,0,3687,125,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11986,3151,318,9,36,26,0,59,0,3687,217,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,960,1099,0,14,34,52,26,30,5,14,9,5,16,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12989,3151,318,9,36,65,0,81,0,3687,298,5,3,1766,490,1555,0,0,2,72,25,0,0,72,0,0,1440,1584,5256,1102,0,39,33,36,42,43,39,27,21,9,44,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13986,3151,318,9,36,9999,0,166,0,3673,609,5,3,1766,490,1555,0,0,58,72,44,0,35,36,0,0,1440,1584,5224,1107,0,33,52,54,45,45,27,14,33,9,49,0,0,10137,412,0,252,56,309,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14986,3151,318,9,36,9999,0,67,0,3673,246,5,3,1766,490,1555,0,0,73,72,50,0,76,1,0,0,1440,1584,5236,1109,0,63,51,50,40,50,63,61,42,13,47,0,0,10137,412,0,252,56,309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15987,3151,318,9,36,9999,0,87,0,3673,319,5,3,1766,490,1555,0,0,72,72,52,0,137,0,0,0,1440,1584,5349,1105,0,69,57,42,40,33,47,69,55,14,47,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16986,3151,318,9,36,9999,0,144,0,3672,528,5,3,1766,490,1555,0,0,71,72,39,0,65,0,0,0,1440,1584,5393,1108,0,23,47,31,40,35,21,23,19,9,48,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17986,3151,318,9,36,9999,0,83,0,3672,304,5,3,1766,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,5422,1105,0,34,52,31,38,25,34,23,23,5,48,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18987,3151,318,9,36,9999,0,72,0,3672,264,4,3,1478,490,1804,0,0,72,72,34,0,0,0,0,0,1440,1584,5408,1103,0,31,44,42,35,27,28,31,31,17,48,0,0,10137,412,0,252,56,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20003,2948,482,9,36,9999,0,111,0,3672,407,4,3,1478,490,1804,0,0,72,72,33,0,0,0,0,0,1440,1584,5378,1102,0,28,58,27,39,40,25,25,28,9,48,0,0,10458,583,0,404,64,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20986,2948,482,9,36,9999,0,90,0,3672,330,4,3,1478,490,1804,0,0,72,72,33,0,0,0,0,0,1440,1584,5378,1100,0,28,57,45,30,40,25,25,28,5,48,0,0,10458,583,0,404,64,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21987,2948,482,9,36,9999,0,49,0,3672,179,4,3,1478,490,1804,0,0,72,72,31,0,0,0,0,0,1440,1584,5381,1100,0,73,50,33,45,26,42,61,73,5,48,0,0,10458,583,0,404,64,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
22987,2948,482,10,36,49,0,5,0,3686,18,4,3,1478,490,1804,0,0,72,72,32,0,0,0,0,0,1440,1584,5385,1101,0,95,47,40,36,43,31,95,36,5,48,0,0,10458,583,0,404,64,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
23987,2948,482,10,36,49,0,31,0,3686,114,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1440,1584,5385,1101,0,95,47,40,36,43,31,95,36,5,48,0,0,10458,583,0,404,64,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
