Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
989,3062,315,9,36,261,0,225,0,3695,831,5,3,1766,490,1353,0,0,73,72,26,0,3,15,0,0,1440,1584,519,1099,0,9,38,33,34,28,9,5,9,13,13,0,0,10389,401,0,264,41,305,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1988,3062,315,9,36,261,0,151,0,3695,557,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,503,1102,0,17,50,29,41,36,17,9,9,14,13,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2988,3062,315,9,36,261,0,208,0,3695,768,4,3,1478,490,1353,0,0,72,72,24,0,0,0,0,0,1440,1584,501,1105,0,9,12,23,28,37,5,5,9,5,13,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3988,3062,315,9,36,261,0,118,0,3695,436,4,3,1478,490,2000,0,0,72,72,24,0,0,0,0,0,1440,1584,824,1100,0,19,38,18,28,33,18,0,19,5,14,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4988,3062,315,9,36,261,0,109,0,3695,402,4,3,1478,490,1353,0,0,60,72,32,0,23,14,0,0,1440,1584,878,1098,0,10,57,60,57,61,5,10,5,17,15,0,0,10389,401,0,264,41,305,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5988,3062,315,9,36,261,0,221,0,3695,816,4,3,1478,490,1353,0,0,72,72,27,0,0,0,0,0,1440,1584,904,1098,0,14,17,35,33,42,9,14,9,9,16,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6989,3062,315,9,36,261,0,132,0,3688,486,4,3,1478,490,1353,0,0,72,72,26,0,0,0,0,0,1440,1584,1140,1127,0,18,31,23,33,40,10,18,13,5,18,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7988,3062,315,9,36,132,0,206,0,3688,759,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,1286,1133,0,14,27,34,28,30,5,14,9,5,19,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8988,3062,315,9,36,206,0,148,0,3694,546,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,1288,1132,0,13,29,30,28,33,5,13,13,0,18,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
9988,3062,315,9,36,206,0,204,0,3694,753,4,3,1478,490,1353,0,0,72,72,25,0,0,0,0,0,1440,1584,1289,1132,0,14,29,13,38,21,5,14,0,9,19,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
