Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
996,3231,364,0,0,0,0,1104,0,3638,4016,0,0,2419,305,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,19222,443,0,294,62,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2158,3231,364,15,32,9999,0,1349,0,3638,4907,2,2,2419,525,2000,0,1,1,72,0,0,0,90,0,0,0,0,800,3046,227,100,94,100,85,100,21,100,25,10,31,0,0,19222,443,0,294,62,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0
2980,3231,364,15,32,9999,0,1500,0,3638,5762,2,2,2419,525,2000,0,1,1,72,0,0,0,90,0,0,0,0,800,3046,227,100,94,100,85,100,21,100,25,10,31,0,0,19222,443,0,294,62,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0
4011,3231,364,15,32,9999,0,1500,0,3638,5602,5,4,2419,525,2000,1,1,42,90,44,0,39,32,19,0,1728,1901,413,1474,113,89,100,100,94,90,89,47,75,10,12,0,0,19222,443,0,294,62,357,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,120
4985,3231,364,15,32,9999,0,1500,0,3638,7500,5,4,2419,525,2000,1,1,13,90,37,1,33,44,13,0,1728,1901,4399,1682,126,100,100,100,100,100,39,39,100,19,67,0,0,19222,443,0,294,62,357,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,120
5991,3231,364,15,32,9999,0,1500,0,3638,7500,5,4,1766,525,1804,1,1,88,90,41,0,82,5,9,0,1728,1901,4651,1661,118,64,94,100,89,90,33,64,50,19,52,0,0,19222,443,0,294,62,357,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,145,120
6985,3231,364,15,32,9999,0,1500,0,3638,7345,5,4,1766,525,1804,1,1,75,90,39,0,66,19,13,0,1728,1901,4409,2998,125,76,90,84,90,95,19,76,39,19,72,0,0,19222,443,0,294,62,357,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,406,531,120
8004,3231,364,15,32,9999,0,1500,0,3638,6264,5,4,1766,525,2000,1,1,90,90,41,0,88,0,42,0,1728,1901,699,2582,129,89,100,93,94,100,59,89,61,19,44,0,0,19222,443,0,294,62,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,362,491,120
8981,3231,364,15,32,9999,0,1500,0,3638,5817,5,4,1766,525,1555,1,1,90,90,41,0,88,0,42,0,1728,1901,699,2582,129,89,100,93,94,100,59,89,61,19,44,0,0,19222,443,0,294,62,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,362,491,120
9980,3231,364,15,33,9999,0,1287,0,3609,4644,5,4,1766,525,2000,1,1,8,90,26,0,0,90,115,4,1728,1901,692,2493,101,57,71,75,90,89,21,36,57,19,36,0,0,19222,443,0,294,62,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,349,450,120
